componente,unidade,Valor por 100g,Colher servir cheia (40 g),Colher sopa cheia (20 g),Porção Média (100 g),codigo_alimento,nome_alimento
Energia,kJ,348,139,69,347,BRC0001E,Nome não encontrado
Energia,kcal,82,32,16,82,BRC0001E,Nome não encontrado
Umidade,g,"79,6","31,8","15,9","79,6",BRC0001E,Nome não encontrado
Carboidrato total,g,"0,01","0,01","0,00","0,01",BRC0001E,Nome não encontrado
Carboidrato disponível,g,"0,01","0,01","0,00","0,01",BRC0001E,Nome não encontrado
Proteína,g,"17,7","7,07","3,53","17,7",BRC0001E,Nome não encontrado
Lipídios,g,"1,28","0,51","0,26","1,28",BRC0001E,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00",BRC0001E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0001E,Nome não encontrado
Cinzas,g,"1,49","0,60","0,30","1,49",BRC0001E,Nome não encontrado
Colesterol,mg,240,"96,3","48,2",240,BRC0001E,Nome não encontrado
Ácidos graxos saturados,g,"0,40","0,16","0,08","0,40",BRC0001E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,20","0,08","0,04","0,20",BRC0001E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,20","0,08","0,04","0,20",BRC0001E,Nome não encontrado
Ácidos graxos trans,g,traços,traços,traços,traços,BRC0001E,Nome não encontrado
Cálcio,mg,"89,7","35,9","17,9","89,7",BRC0001E,Nome não encontrado
Ferro,mg,"2,24","0,90","0,45","2,24",BRC0001E,Nome não encontrado
Sódio,mg,366,146,"73,3",366,BRC0001E,Nome não encontrado
Magnésio,mg,"18,9","7,56","3,78","18,9",BRC0001E,Nome não encontrado
Fósforo,mg,265,106,"53,2",265,BRC0001E,Nome não encontrado
Potássio,mg,101,"40,7","20,3",101,BRC0001E,Nome não encontrado
Manganês,mg,"0,06","0,02","0,01","0,06",BRC0001E,Nome não encontrado
Zinco,mg,"1,14","0,46","0,23","1,14",BRC0001E,Nome não encontrado
Cobre,mg,"0,39","0,15","0,08","0,39",BRC0001E,Nome não encontrado
Selênio,mcg,,,,,BRC0001E,Nome não encontrado
Vitamina A (RE),mcg,traços,traços,traços,traços,BRC0001E,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,traços,traços,BRC0001E,Nome não encontrado
Vitamina D,mcg,"0,08","0,03","0,02","0,08",BRC0001E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,40","0,56","0,28","1,40",BRC0001E,Nome não encontrado
Tiamina,mg,traços,traços,traços,traços,BRC0001E,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,BRC0001E,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,BRC0001E,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,traços,BRC0001E,Nome não encontrado
Vitamina B12,mcg,"1,60","0,64","0,32","1,60",BRC0001E,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00",BRC0001E,Nome não encontrado
Equivalente de folato,mcg,"17,4","6,97","3,48","17,4",BRC0001E,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0001E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0001E,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00",BRC0001E,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00","0,00",BRC0001E,Nome não encontrado
Proteína animal,g,"17,7","7,07","3,53","17,7",BRC0001E,Nome não encontrado
