componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (30 g),codigo_alimento,nome_alimento
Energia,kJ,2347,704,BRC0001N,Nome não encontrado
Energia,kcal,563,168,BRC0001N,Nome não encontrado
Umidade,g,"1,73","0,52",BRC0001N,Nome não encontrado
Carboidrato total,g,"56,3","16,9",BRC0001N,Nome não encontrado
Carboidrato disponível,g,"56,3","16,9",BRC0001N,Nome não encontrado
Proteína,g,"6,90","2,07",BRC0001N,Nome não encontrado
Lipídios,g,"33,8","10,1",BRC0001N,Nome não encontrado
Fibra alimentar,g,"2,85","0,85",BRC0001N,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0001N,Nome não encontrado
Cinzas,g,"1,28","0,38",BRC0001N,Nome não encontrado
Colesterol,mg,"13,0","3,89",BRC0001N,Nome não encontrado
Ácidos graxos saturados,g,"19,2","5,76",BRC0001N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"11,4","3,42",BRC0001N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,50","0,45",BRC0001N,Nome não encontrado
Ácidos graxos trans,g,"0,18","0,05",BRC0001N,Nome não encontrado
Cálcio,mg,187,"56,4",BRC0001N,Nome não encontrado
Ferro,mg,"3,31","0,99",BRC0001N,Nome não encontrado
Sódio,mg,"84,7","25,4",BRC0001N,Nome não encontrado
Magnésio,mg,"67,2","20,2",BRC0001N,Nome não encontrado
Fósforo,mg,276,"82,9",BRC0001N,Nome não encontrado
Potássio,mg,458,137,BRC0001N,Nome não encontrado
Manganês,mg,"0,41","0,12",BRC0001N,Nome não encontrado
Zinco,mg,"1,12","0,33",BRC0001N,Nome não encontrado
Cobre,mg,"0,43","0,13",BRC0001N,Nome não encontrado
Selênio,mcg,,,BRC0001N,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0001N,Nome não encontrado
Vitamina A (RAE),mcg,,,BRC0001N,Nome não encontrado
Vitamina D,mcg,"0,08","0,02",BRC0001N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"2,04","0,61",BRC0001N,Nome não encontrado
Tiamina,mg,traços,traços,BRC0001N,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0001N,Nome não encontrado
Niacina,mg,traços,traços,BRC0001N,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0001N,Nome não encontrado
Vitamina B12,mcg,"0,87","0,26",BRC0001N,Nome não encontrado
Vitamina C,mg,traços,traços,BRC0001N,Nome não encontrado
Equivalente de folato,mcg,"25,6","7,68",BRC0001N,Nome não encontrado
Sal de adição,g,,,BRC0001N,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0001N,Nome não encontrado
Gordura de adição,g,,,BRC0001N,Nome não encontrado
Proteína vegetal,g,,,BRC0001N,Nome não encontrado
Proteína animal,g,,,BRC0001N,Nome não encontrado
