componente,unidade,Valor por 100g,Colher servir cheia (40 g),Colher sopa cheia (20 g),codigo_alimento,nome_alimento
Energia,kJ,191,76,38,BRC0002E,Nome não encontrado
Energia,kcal,45,18,9,BRC0002E,Nome não encontrado
Umidade,g,"88,3","35,3","17,7",BRC0002E,Nome não encontrado
Carboidrato total,g,"0,00","0,00","0,00",BRC0002E,Nome não encontrado
Carboidrato disponível,g,"0,00","0,00","0,00",BRC0002E,Nome não encontrado
Proteína,g,"10,3","4,12","2,06",BRC0002E,Nome não encontrado
Lipídios,g,"0,43","0,17","0,09",BRC0002E,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00",BRC0002E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0002E,Nome não encontrado
Cinzas,g,"0,92","0,37","0,18",BRC0002E,Nome não encontrado
Colesterol,mg,107,"42,8","21,4",BRC0002E,Nome não encontrado
Ácidos graxos saturados,g,"0,10","0,04","0,02",BRC0002E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,10","0,04","0,02",BRC0002E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,20","0,08","0,04",BRC0002E,Nome não encontrado
Ácidos graxos trans,g,traços,traços,traços,BRC0002E,Nome não encontrado
Cálcio,mg,"43,9","17,6","8,78",BRC0002E,Nome não encontrado
Ferro,mg,"0,58","0,23","0,12",BRC0002E,Nome não encontrado
Sódio,mg,208,"83,4","41,7",BRC0002E,Nome não encontrado
Magnésio,mg,"23,5","9,41","4,70",BRC0002E,Nome não encontrado
Fósforo,mg,242,"97,0","48,5",BRC0002E,Nome não encontrado
Potássio,mg,"74,6","29,9","14,9",BRC0002E,Nome não encontrado
Manganês,mg,"0,04","0,01","0,01",BRC0002E,Nome não encontrado
Zinco,mg,"0,61","0,25","0,12",BRC0002E,Nome não encontrado
Cobre,mg,"0,10","0,04","0,02",BRC0002E,Nome não encontrado
Selênio,mcg,"25,0","10,00","5,00",BRC0002E,Nome não encontrado
Vitamina A (RE),mcg,"17,2","6,87","3,44",BRC0002E,Nome não encontrado
Vitamina A (RAE),mcg,"17,2","6,87","3,44",BRC0002E,Nome não encontrado
Vitamina D,mcg,"0,04","0,02","0,01",BRC0002E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,56","0,23","0,11",BRC0002E,Nome não encontrado
Tiamina,mg,traços,traços,traços,BRC0002E,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0002E,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0002E,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0002E,Nome não encontrado
Vitamina B12,mcg,"0,74","0,29","0,15",BRC0002E,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00",BRC0002E,Nome não encontrado
Equivalente de folato,mcg,"12,6","5,04","2,52",BRC0002E,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0002E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0002E,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0002E,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00",BRC0002E,Nome não encontrado
Proteína animal,g,"10,3","4,12","2,06",BRC0002E,Nome não encontrado
