componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (3 g),codigo_alimento,nome_alimento
Energia,kJ,1207,36,BRC0002J,Nome não encontrado
Energia,kcal,291,8,BRC0002J,Nome não encontrado
Umidade,g,"54,4","1,63",BRC0002J,Nome não encontrado
Carboidrato total,g,"6,97","0,21",BRC0002J,Nome não encontrado
Carboidrato disponível,g,"6,97","0,21",BRC0002J,Nome não encontrado
Proteína,g,"14,1","0,42",BRC0002J,Nome não encontrado
Lipídios,g,"23,0","0,69",BRC0002J,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0002J,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0002J,Nome não encontrado
Cinzas,g,"1,57","0,05",BRC0002J,Nome não encontrado
Colesterol,mg,522,"15,7",BRC0002J,Nome não encontrado
Ácidos graxos saturados,g,"8,16","0,24",BRC0002J,Nome não encontrado
Ácidos graxos monoinsaturados,g,"11,2","0,34",BRC0002J,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,50","0,08",BRC0002J,Nome não encontrado
Ácidos graxos trans,g,"0,11","0,00",BRC0002J,Nome não encontrado
Cálcio,mg,126,"3,80",BRC0002J,Nome não encontrado
Ferro,mg,"5,39","0,16",BRC0002J,Nome não encontrado
Sódio,mg,207,"6,22",BRC0002J,Nome não encontrado
Magnésio,mg,"17,8","0,53",BRC0002J,Nome não encontrado
Fósforo,mg,449,"13,5",BRC0002J,Nome não encontrado
Potássio,mg,126,"3,80",BRC0002J,Nome não encontrado
Manganês,mg,traços,traços,BRC0002J,Nome não encontrado
Zinco,mg,"3,30","0,10",BRC0002J,Nome não encontrado
Cobre,mg,"0,06","0,00",BRC0002J,Nome não encontrado
Selênio,mcg,,,BRC0002J,Nome não encontrado
Vitamina A (RE),mcg,323,"9,69",BRC0002J,Nome não encontrado
Vitamina A (RAE),mcg,323,"9,69",BRC0002J,Nome não encontrado
Vitamina D,mcg,"2,90","0,09",BRC0002J,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"2,24","0,07",BRC0002J,Nome não encontrado
Tiamina,mg,"0,18","0,01",BRC0002J,Nome não encontrado
Riboflavina,mg,"0,20","0,01",BRC0002J,Nome não encontrado
Niacina,mg,"1,56","0,05",BRC0002J,Nome não encontrado
Vitamina B6,mg,"0,27","0,01",BRC0002J,Nome não encontrado
Vitamina B12,mcg,"2,81","0,08",BRC0002J,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0002J,Nome não encontrado
Equivalente de folato,mcg,117,"3,52",BRC0002J,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0002J,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0002J,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0002J,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0002J,Nome não encontrado
Proteína animal,g,"14,1","0,42",BRC0002J,Nome não encontrado
