componente,unidade,Valor por 100g,Porção Média (100 g),codigo_alimento,nome_alimento
Energia,kJ,1434,1433,BRC0002M,Nome não encontrado
Energia,kcal,344,344,BRC0002M,Nome não encontrado
Umidade,g,"37,4","37,4",BRC0002M,Nome não encontrado
Carboidrato total,g,"34,9","34,9",BRC0002M,Nome não encontrado
Carboidrato disponível,g,"31,7","31,7",BRC0002M,Nome não encontrado
Proteína,g,"4,32","4,32",BRC0002M,Nome não encontrado
Lipídios,g,"21,5","21,5",BRC0002M,Nome não encontrado
Fibra alimentar,g,"3,20","3,20",BRC0002M,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0002M,Nome não encontrado
Cinzas,g,"1,87","1,87",BRC0002M,Nome não encontrado
Colesterol,mg,"3,00","3,00",BRC0002M,Nome não encontrado
Ácidos graxos saturados,g,"2,17","2,17",BRC0002M,Nome não encontrado
Ácidos graxos monoinsaturados,g,"14,0","14,0",BRC0002M,Nome não encontrado
Ácidos graxos poliinsaturados,g,"5,04","5,04",BRC0002M,Nome não encontrado
Ácidos graxos trans,g,"0,06","0,06",BRC0002M,Nome não encontrado
Cálcio,mg,"63,0","63,0",BRC0002M,Nome não encontrado
Ferro,mg,"0,75","0,75",BRC0002M,Nome não encontrado
Sódio,mg,313,313,BRC0002M,Nome não encontrado
Magnésio,mg,"42,0","42,0",BRC0002M,Nome não encontrado
Fósforo,mg,198,198,BRC0002M,Nome não encontrado
Potássio,mg,362,362,BRC0002M,Nome não encontrado
Manganês,mg,"0,19","0,19",BRC0002M,Nome não encontrado
Zinco,mg,"0,86","0,86",BRC0002M,Nome não encontrado
Cobre,mg,"0,06","0,06",BRC0002M,Nome não encontrado
Selênio,mcg,"8,60","8,60",BRC0002M,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0002M,Nome não encontrado
Vitamina A (RAE),mcg,"5,00","5,00",BRC0002M,Nome não encontrado
Vitamina D,mcg,,,BRC0002M,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"4,08","4,08",BRC0002M,Nome não encontrado
Tiamina,mg,"0,12","0,12",BRC0002M,Nome não encontrado
Riboflavina,mg,"0,13","0,13",BRC0002M,Nome não encontrado
Niacina,mg,"0,63","0,63",BRC0002M,Nome não encontrado
Vitamina B6,mg,"0,22","0,22",BRC0002M,Nome não encontrado
Vitamina B12,mcg,"0,07","0,07",BRC0002M,Nome não encontrado
Vitamina C,mg,,,BRC0002M,Nome não encontrado
Equivalente de folato,mcg,"10,00","10,00",BRC0002M,Nome não encontrado
Sal de adição,g,,,BRC0002M,Nome não encontrado
Açúcar de adição,g,,,BRC0002M,Nome não encontrado
Gordura de adição,g,-,-,BRC0002M,Nome não encontrado
Proteína vegetal,g,,,BRC0002M,Nome não encontrado
Proteína animal,g,,,BRC0002M,Nome não encontrado
