componente,unidade,Valor por 100g,Colher sopa rasa (14 g),codigo_alimento,nome_alimento
Energia,kJ,1428,199,BRC0002N,Nome não encontrado
Energia,kcal,337,47,BRC0002N,Nome não encontrado
Umidade,g,"7,75","1,08",BRC0002N,Nome não encontrado
Carboidrato total,g,"28,8","4,03",BRC0002N,Nome não encontrado
Carboidrato disponível,g,"24,1","3,37",BRC0002N,Nome não encontrado
Proteína,g,"57,2","8,00",BRC0002N,Nome não encontrado
Lipídios,g,"0,24","0,03",BRC0002N,Nome não encontrado
Fibra alimentar,g,"4,69","0,66",BRC0002N,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0002N,Nome não encontrado
Cinzas,g,"6,06","0,85",BRC0002N,Nome não encontrado
Colesterol,mg,,,BRC0002N,Nome não encontrado
Ácidos graxos saturados,g,,,BRC0002N,Nome não encontrado
Ácidos graxos monoinsaturados,g,,,BRC0002N,Nome não encontrado
Ácidos graxos poliinsaturados,g,,,BRC0002N,Nome não encontrado
Ácidos graxos trans,g,,,BRC0002N,Nome não encontrado
Cálcio,mg,"7,53","1,05",BRC0002N,Nome não encontrado
Ferro,mg,"0,56","0,08",BRC0002N,Nome não encontrado
Sódio,mg,810,113,BRC0002N,Nome não encontrado
Magnésio,mg,"1,88","0,26",BRC0002N,Nome não encontrado
Fósforo,mg,1216,170,BRC0002N,Nome não encontrado
Potássio,mg,"13,2","1,84",BRC0002N,Nome não encontrado
Manganês,mg,"0,00","0,00",BRC0002N,Nome não encontrado
Zinco,mg,"0,00","0,00",BRC0002N,Nome não encontrado
Cobre,mg,"0,00","0,00",BRC0002N,Nome não encontrado
Selênio,mcg,"0,00","0,00",BRC0002N,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0002N,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0002N,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0002N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00",BRC0002N,Nome não encontrado
Tiamina,mg,"0,00","0,00",BRC0002N,Nome não encontrado
Riboflavina,mg,"0,00","0,00",BRC0002N,Nome não encontrado
Niacina,mg,"0,00","0,00",BRC0002N,Nome não encontrado
Vitamina B6,mg,"0,00","0,00",BRC0002N,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0002N,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0002N,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00",BRC0002N,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0002N,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0002N,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0002N,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0002N,Nome não encontrado
Proteína animal,g,"57,2","8,00",BRC0002N,Nome não encontrado
