componente,unidade,Valor por 100g,Colher sopa rasa (12 g),codigo_alimento,nome_alimento
Energia,kJ,1579,189,BRC0003R,Nome não encontrado
Energia,kcal,372,44,BRC0003R,Nome não encontrado
Umidade,g,"5,50","0,66",BRC0003R,Nome não encontrado
Carboidrato total,g,"85,3","10,2",BRC0003R,Nome não encontrado
Carboidrato disponível,g,"83,6","10,0",BRC0003R,Nome não encontrado
Proteína,g,"6,10","0,73",BRC0003R,Nome não encontrado
Lipídios,g,"1,10","0,13",BRC0003R,Nome não encontrado
Fibra alimentar,g,"1,69","0,20",BRC0003R,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0003R,Nome não encontrado
Cinzas,g,"2,00","0,24",BRC0003R,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0003R,Nome não encontrado
Ácidos graxos saturados,g,"0,27","0,03",BRC0003R,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,38","0,05",BRC0003R,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,31","0,04",BRC0003R,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0003R,Nome não encontrado
Cálcio,mg,130,"15,7",BRC0003R,Nome não encontrado
Ferro,mg,"2,87","0,34",BRC0003R,Nome não encontrado
Sódio,mg,754,"90,5",BRC0003R,Nome não encontrado
Magnésio,mg,"40,3","4,84",BRC0003R,Nome não encontrado
Fósforo,mg,281,"33,7",BRC0003R,Nome não encontrado
Potássio,mg,331,"39,8",BRC0003R,Nome não encontrado
Manganês,mg,,,BRC0003R,Nome não encontrado
Zinco,mg,"0,77","0,09",BRC0003R,Nome não encontrado
Cobre,mg,,,BRC0003R,Nome não encontrado
Selênio,mcg,,,BRC0003R,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0003R,Nome não encontrado
Vitamina A (RAE),mcg,"0,14","0,02",BRC0003R,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0003R,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,09","0,01",BRC0003R,Nome não encontrado
Tiamina,mg,"0,21","0,02",BRC0003R,Nome não encontrado
Riboflavina,mg,"0,17","0,02",BRC0003R,Nome não encontrado
Niacina,mg,"2,38","0,29",BRC0003R,Nome não encontrado
Vitamina B6,mg,"0,03","0,00",BRC0003R,Nome não encontrado
Vitamina B12,mcg,"0,49","0,06",BRC0003R,Nome não encontrado
Vitamina C,mg,"0,10","0,01",BRC0003R,Nome não encontrado
Equivalente de folato,mcg,"83,6","10,0",BRC0003R,Nome não encontrado
Sal de adição,g,,,BRC0003R,Nome não encontrado
Açúcar de adição,g,,,BRC0003R,Nome não encontrado
Gordura de adição,g,,,BRC0003R,Nome não encontrado
Proteína vegetal,g,,,BRC0003R,Nome não encontrado
Proteína animal,g,,,BRC0003R,Nome não encontrado
