componente,unidade,Valor por 100g,Porção Média (30 g),codigo_alimento,nome_alimento
Energia,kJ,2780,834,BRC0003U,Nome não encontrado
Energia,kcal,674,202,BRC0003U,Nome não encontrado
Umidade,g,"3,52","1,06",BRC0003U,Nome não encontrado
Carboidrato total,g,"15,1","4,52",BRC0003U,Nome não encontrado
Carboidrato disponível,g,"7,15","2,14",BRC0003U,Nome não encontrado
Proteína,g,"14,5","4,36",BRC0003U,Nome não encontrado
Lipídios,g,"63,5","19,0",BRC0003U,Nome não encontrado
Fibra alimentar,g,"7,93","2,38",BRC0003U,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0003U,Nome não encontrado
Cinzas,g,"3,40","1,02",BRC0003U,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0003U,Nome não encontrado
Ácidos graxos saturados,g,"15,3","4,59",BRC0003U,Nome não encontrado
Ácidos graxos monoinsaturados,g,"27,4","8,22",BRC0003U,Nome não encontrado
Ácidos graxos poliinsaturados,g,"21,0","6,30",BRC0003U,Nome não encontrado
Ácidos graxos trans,g,,,BRC0003U,Nome não encontrado
Cálcio,mg,162,"48,8",BRC0003U,Nome não encontrado
Ferro,mg,"2,98","0,89",BRC0003U,Nome não encontrado
Sódio,mg,"0,40","0,12",BRC0003U,Nome não encontrado
Magnésio,mg,323,"97,0",BRC0003U,Nome não encontrado
Fósforo,mg,679,203,BRC0003U,Nome não encontrado
Potássio,mg,625,187,BRC0003U,Nome não encontrado
Manganês,mg,"1,11","0,33",BRC0003U,Nome não encontrado
Zinco,mg,"4,28","1,28",BRC0003U,Nome não encontrado
Cobre,mg,"2,06","0,62",BRC0003U,Nome não encontrado
Selênio,mcg,3382,1014,BRC0003U,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0003U,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0003U,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0003U,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"6,29","1,89",BRC0003U,Nome não encontrado
Tiamina,mg,"0,30","0,09",BRC0003U,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0003U,Nome não encontrado
Niacina,mg,traços,traços,BRC0003U,Nome não encontrado
Vitamina B6,mg,"0,44","0,13",BRC0003U,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0003U,Nome não encontrado
Vitamina C,mg,traços,traços,BRC0003U,Nome não encontrado
Equivalente de folato,mcg,"22,0","6,59",BRC0003U,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0003U,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0003U,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0003U,Nome não encontrado
Proteína vegetal,g,"14,5","4,36",BRC0003U,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0003U,Nome não encontrado
