componente,unidade,Valor por 100g,Colher café cheia (2 g),Colher café rasa (1 g),Colher chá cheia (5 g),Colher chá rasa (3 g),Colher sobremesa cheia (16 g),Colher sobremesa rasa (9 g),Colher sopa cheia (24 g),Colher sopa rasa (15 g),Xícara chá (170 g),codigo_alimento,nome_alimento
Energia,kJ,1678,33,16,83,50,268,151,402,251,2853,BRC0004K,Nome não encontrado
Energia,kcal,395,7,3,19,11,63,35,94,59,671,BRC0004K,Nome não encontrado
Umidade,g,"0,82","0,02","0,01","0,04","0,02","0,13","0,07","0,20","0,12","1,39",BRC0004K,Nome não encontrado
Carboidrato total,g,"98,3","1,97","0,98","4,92","2,95","15,7","8,85","23,6","14,7",167,BRC0004K,Nome não encontrado
Carboidrato disponível,g,"98,3","1,97","0,98","4,92","2,95","15,7","8,85","23,6","14,7",167,BRC0004K,Nome não encontrado
Proteína,g,"0,35","0,01","0,00","0,02","0,01","0,06","0,03","0,08","0,05","0,60",BRC0004K,Nome não encontrado
Lipídios,g,"0,02","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,00","0,04",BRC0004K,Nome não encontrado
Fibra alimentar,g,,,,,,,,,,,BRC0004K,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0004K,Nome não encontrado
Cinzas,g,"0,49","0,01","0,00","0,02","0,01","0,08","0,04","0,12","0,07","0,83",BRC0004K,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0004K,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0004K,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0004K,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0004K,Nome não encontrado
Ácidos graxos trans,g,,,,,,,,,,,BRC0004K,Nome não encontrado
Cálcio,mg,"45,9","0,92","0,46","2,29","1,38","7,34","4,13","11,0","6,88","78,0",BRC0004K,Nome não encontrado
Ferro,mg,"2,17","0,04","0,02","0,11","0,07","0,35","0,20","0,52","0,33","3,70",BRC0004K,Nome não encontrado
Sódio,mg,"12,5","0,25","0,12","0,62","0,37","1,99","1,12","2,99","1,87","21,2",BRC0004K,Nome não encontrado
Magnésio,mg,"27,2","0,54","0,27","1,36","0,82","4,35","2,45","6,52","4,08","46,2",BRC0004K,Nome não encontrado
Fósforo,mg,"12,7","0,25","0,13","0,64","0,38","2,04","1,14","3,05","1,91","21,6",BRC0004K,Nome não encontrado
Potássio,mg,176,"3,54","1,77","8,84","5,31","28,3","15,9","42,4","26,5",300,BRC0004K,Nome não encontrado
Manganês,mg,"2,03","0,04","0,02","0,10","0,06","0,32","0,18","0,49","0,30","3,44",BRC0004K,Nome não encontrado
Zinco,mg,"0,16","0,00","0,00","0,01","0,00","0,03","0,01","0,04","0,02","0,27",BRC0004K,Nome não encontrado
Cobre,mg,"0,06","0,00","0,00","0,00","0,00","0,01","0,01","0,01","0,01","0,10",BRC0004K,Nome não encontrado
Selênio,mcg,,,,,,,,,,,BRC0004K,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0004K,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0004K,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0004K,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0004K,Nome não encontrado
Tiamina,mg,traços,traços,traços,traços,traços,traços,traços,traços,traços,traços,BRC0004K,Nome não encontrado
Riboflavina,mg,"0,03","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,00","0,05",BRC0004K,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,traços,traços,traços,traços,traços,BRC0004K,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,traços,traços,traços,traços,traços,traços,traços,BRC0004K,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0004K,Nome não encontrado
Vitamina C,mg,traços,traços,traços,traços,traços,traços,traços,traços,traços,traços,BRC0004K,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0004K,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0004K,Nome não encontrado
Açúcar de adição,g,"100,0","2,00","1,00","5,00","3,00","16,0","9,00","24,0","15,0",170,BRC0004K,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0004K,Nome não encontrado
Proteína vegetal,g,"0,35","0,01","0,00","0,02","0,01","0,06","0,03","0,08","0,05","0,60",BRC0004K,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0004K,Nome não encontrado
