componente,unidade,Valor por 100g,Colher café cheia (1.8 g),Colher café rasa (0.7 g),Colher chá cheia (3.4 g),Colher chá rasa (1.7 g),Colher sobremesa cheia (9.4 g),Colher sobremesa rasa (4.7 g),Colher sopa cheia (15 g),Colher sopa rasa (8 g),codigo_alimento,nome_alimento
Energia,kJ,1388,24,9,47,23,130,65,208,111,BRC0005L,Nome não encontrado
Energia,kcal,334,6,2,11,5,31,15,50,26,BRC0005L,Nome não encontrado
Umidade,g,"7,74","0,14","0,05","0,26","0,13","0,73","0,36","1,16","0,62",BRC0005L,Nome não encontrado
Carboidrato total,g,"61,8","1,11","0,43","2,10","1,05","5,81","2,91","9,27","4,94",BRC0005L,Nome não encontrado
Carboidrato disponível,g,"28,6","0,51","0,20","0,97","0,49","2,69","1,34","4,29","2,29",BRC0005L,Nome não encontrado
Proteína,g,"12,3","0,22","0,09","0,42","0,21","1,15","0,58","1,84","0,98",BRC0005L,Nome não encontrado
Lipídios,g,"11,6","0,21","0,08","0,39","0,20","1,09","0,54","1,73","0,92",BRC0005L,Nome não encontrado
Fibra alimentar,g,"33,2","0,60","0,23","1,13","0,56","3,12","1,56","4,98","2,66",BRC0005L,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0005L,Nome não encontrado
Cinzas,g,"6,61","0,12","0,05","0,22","0,11","0,62","0,31","0,99","0,53",BRC0005L,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0005L,Nome não encontrado
Ácidos graxos saturados,g,"1,36","0,02","0,01","0,05","0,02","0,13","0,06","0,20","0,11",BRC0005L,Nome não encontrado
Ácidos graxos monoinsaturados,g,"7,25","0,13","0,05","0,25","0,12","0,68","0,34","1,09","0,58",BRC0005L,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,52","0,05","0,02","0,09","0,04","0,24","0,12","0,38","0,20",BRC0005L,Nome não encontrado
Ácidos graxos trans,g,,,,,,,,,,BRC0005L,Nome não encontrado
Cálcio,mg,531,"9,56","3,72","18,1","9,03","49,9","25,0","79,7","42,5",BRC0005L,Nome não encontrado
Ferro,mg,"19,3","0,35","0,14","0,66","0,33","1,82","0,91","2,90","1,55",BRC0005L,Nome não encontrado
Sódio,mg,"52,6","0,95","0,37","1,79","0,89","4,94","2,47","7,89","4,21",BRC0005L,Nome não encontrado
Magnésio,mg,257,"4,64","1,81","8,77","4,39","24,2","12,1","38,7","20,6",BRC0005L,Nome não encontrado
Fósforo,mg,371,"6,68","2,60","12,6","6,31","34,9","17,4","55,7","29,7",BRC0005L,Nome não encontrado
Potássio,mg,1183,"21,3","8,29","40,2","20,1",111,"55,6",177,"94,7",BRC0005L,Nome não encontrado
Manganês,mg,,,,,,,,,,BRC0005L,Nome não encontrado
Zinco,mg,"4,76","0,09","0,03","0,16","0,08","0,45","0,22","0,71","0,38",BRC0005L,Nome não encontrado
Cobre,mg,,,,,,,,,,BRC0005L,Nome não encontrado
Selênio,mcg,,,,,,,,,,BRC0005L,Nome não encontrado
Vitamina A (RE),mcg,,,,,,,,,,BRC0005L,Nome não encontrado
Vitamina A (RAE),mcg,"0,83","0,01","0,01","0,03","0,01","0,08","0,04","0,12","0,07",BRC0005L,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0005L,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"20,8","0,37","0,15","0,71","0,35","1,96","0,98","3,12","1,67",BRC0005L,Nome não encontrado
Tiamina,mg,"0,18","0,00","0,00","0,01","0,00","0,02","0,01","0,03","0,01",BRC0005L,Nome não encontrado
Riboflavina,mg,"0,20","0,00","0,00","0,01","0,00","0,02","0,01","0,03","0,02",BRC0005L,Nome não encontrado
Niacina,mg,"3,30","0,06","0,02","0,11","0,06","0,31","0,16","0,49","0,26",BRC0005L,Nome não encontrado
Vitamina B6,mg,"0,11","0,00","0,00","0,00","0,00","0,01","0,00","0,02","0,01",BRC0005L,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0005L,Nome não encontrado
Vitamina C,mg,"0,71","0,01","0,00","0,02","0,01","0,07","0,03","0,11","0,06",BRC0005L,Nome não encontrado
Equivalente de folato,mcg,"56,7","1,02","0,40","1,93","0,96","5,33","2,66","8,50","4,53",BRC0005L,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0005L,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0005L,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0005L,Nome não encontrado
Proteína vegetal,g,"12,3","0,22","0,09","0,42","0,21","1,15","0,58","1,84","0,98",BRC0005L,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0005L,Nome não encontrado
