componente,unidade,Valor por 100g,Colher servir cheia (40 g),codigo_alimento,nome_alimento
Energia,kJ,352,140,BRC0006E,Nome não encontrado
Energia,kcal,83,33,BRC0006E,Nome não encontrado
Umidade,g,"78,3","31,3",BRC0006E,Nome não encontrado
Carboidrato total,g,"0,08","0,03",BRC0006E,Nome não encontrado
Carboidrato disponível,g,"0,08","0,03",BRC0006E,Nome não encontrado
Proteína,g,"19,0","7,62",BRC0006E,Nome não encontrado
Lipídios,g,"0,74","0,30",BRC0006E,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0006E,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0006E,Nome não encontrado
Cinzas,g,"1,80","0,72",BRC0006E,Nome não encontrado
Colesterol,mg,"34,3","13,7",BRC0006E,Nome não encontrado
Ácidos graxos saturados,g,"0,12","0,05",BRC0006E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,14","0,05",BRC0006E,Nome não encontrado
Ácidos graxos poliinsaturados,g,traços,traços,BRC0006E,Nome não encontrado
Ácidos graxos trans,g,,,BRC0006E,Nome não encontrado
Cálcio,mg,"41,1","16,4",BRC0006E,Nome não encontrado
Ferro,mg,"0,37","0,15",BRC0006E,Nome não encontrado
Sódio,mg,147,"59,2",BRC0006E,Nome não encontrado
Magnésio,mg,"33,2","13,3",BRC0006E,Nome não encontrado
Fósforo,mg,149,"59,7",BRC0006E,Nome não encontrado
Potássio,mg,135,"54,2",BRC0006E,Nome não encontrado
Manganês,mg,"0,01","0,00",BRC0006E,Nome não encontrado
Zinco,mg,"1,81","0,72",BRC0006E,Nome não encontrado
Cobre,mg,"1,75","0,70",BRC0006E,Nome não encontrado
Selênio,mcg,,,BRC0006E,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0006E,Nome não encontrado
Vitamina A (RAE),mcg,"2,29","0,92",BRC0006E,Nome não encontrado
Vitamina D,mcg,,,BRC0006E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0006E,Nome não encontrado
Tiamina,mg,"0,01","0,00",BRC0006E,Nome não encontrado
Riboflavina,mg,"0,04","0,01",BRC0006E,Nome não encontrado
Niacina,mg,"3,19","1,28",BRC0006E,Nome não encontrado
Vitamina B6,mg,"0,11","0,05",BRC0006E,Nome não encontrado
Vitamina B12,mcg,"2,63","1,05",BRC0006E,Nome não encontrado
Vitamina C,mg,"1,37","0,55",BRC0006E,Nome não encontrado
Equivalente de folato,mcg,"0,65","0,26",BRC0006E,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0006E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0006E,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0006E,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0006E,Nome não encontrado
Proteína animal,g,"19,0","7,62",BRC0006E,Nome não encontrado
