componente,unidade,Valor por 100g,Colher sopa rasa (14 g),Pedaço/ Unidade/ Fatia (M) (60 g),codigo_alimento,nome_alimento
Energia,kJ,1469,205,881,BRC0006J,Nome não encontrado
Energia,kcal,346,48,207,BRC0006J,Nome não encontrado
Umidade,g,"8,00","1,12","4,80",BRC0006J,Nome não encontrado
Carboidrato total,g,"7,65","1,07","4,59",BRC0006J,Nome não encontrado
Carboidrato disponível,g,"7,65","1,07","4,59",BRC0006J,Nome não encontrado
Proteína,g,"78,0","10,9","46,8",BRC0006J,Nome não encontrado
Lipídios,g,"0,35","0,05","0,21",BRC0006J,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00",BRC0006J,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0006J,Nome não encontrado
Cinzas,g,"6,00","0,84","3,60",BRC0006J,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0006J,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00","0,00",BRC0006J,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00","0,00",BRC0006J,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00","0,00",BRC0006J,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0006J,Nome não encontrado
Cálcio,mg,"38,8","5,43","23,3",BRC0006J,Nome não encontrado
Ferro,mg,"0,49","0,07","0,29",BRC0006J,Nome não encontrado
Sódio,mg,1124,157,674,BRC0006J,Nome não encontrado
Magnésio,mg,"68,6","9,60","41,1",BRC0006J,Nome não encontrado
Fósforo,mg,"96,1","13,5","57,6",BRC0006J,Nome não encontrado
Potássio,mg,908,127,545,BRC0006J,Nome não encontrado
Manganês,mg,traços,traços,traços,BRC0006J,Nome não encontrado
Zinco,mg,traços,traços,traços,BRC0006J,Nome não encontrado
Cobre,mg,"0,18","0,03","0,11",BRC0006J,Nome não encontrado
Selênio,mcg,,,,BRC0006J,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00",BRC0006J,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00",BRC0006J,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0006J,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00",BRC0006J,Nome não encontrado
Tiamina,mg,traços,traços,traços,BRC0006J,Nome não encontrado
Riboflavina,mg,"0,50","0,07","0,30",BRC0006J,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0006J,Nome não encontrado
Vitamina B6,mg,"0,04","0,00","0,02",BRC0006J,Nome não encontrado
Vitamina B12,mcg,"0,18","0,02","0,11",BRC0006J,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00",BRC0006J,Nome não encontrado
Equivalente de folato,mcg,"17,6","2,46","10,5",BRC0006J,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0006J,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0006J,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0006J,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00",BRC0006J,Nome não encontrado
Proteína animal,g,"78,0","10,9","46,8",BRC0006J,Nome não encontrado
