componente,unidade,Valor por 100g,Colher café cheia (2.3 g),Colher café rasa (1 g),Colher chá cheia (4 g),Colher chá rasa (2.5 g),Colher sobremesa cheia (12.5 g),Colher sobremesa rasa (7 g),Colher sopa cheia (19 g),Colher sopa rasa (11 g),Xícara chá (170 g),codigo_alimento,nome_alimento
Energia,kJ,1622,37,16,64,40,202,113,308,178,2757,BRC0006K,Nome não encontrado
Energia,kcal,382,8,3,15,9,47,26,72,41,648,BRC0006K,Nome não encontrado
Umidade,g,"3,32","0,08","0,03","0,13","0,08","0,42","0,23","0,63","0,37","5,65",BRC0006K,Nome não encontrado
Carboidrato total,g,"94,5","2,17","0,94","3,78","2,36","11,8","6,61","17,9","10,4",160,BRC0006K,Nome não encontrado
Carboidrato disponível,g,"94,5","2,17","0,94","3,78","2,36","11,8","6,61","17,9","10,4",160,BRC0006K,Nome não encontrado
Proteína,g,"0,76","0,02","0,01","0,03","0,02","0,09","0,05","0,14","0,08","1,29",BRC0006K,Nome não encontrado
Lipídios,g,"0,09","0,00","0,00","0,00","0,00","0,01","0,01","0,02","0,01","0,16",BRC0006K,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0006K,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0006K,Nome não encontrado
Cinzas,g,"1,38","0,03","0,01","0,06","0,03","0,17","0,10","0,26","0,15","2,34",BRC0006K,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0006K,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0006K,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0006K,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0006K,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0006K,Nome não encontrado
Cálcio,mg,126,"2,91","1,27","5,06","3,16","15,8","8,86","24,0","13,9",215,BRC0006K,Nome não encontrado
Ferro,mg,"8,30","0,19","0,08","0,33","0,21","1,04","0,58","1,58","0,91","14,1",BRC0006K,Nome não encontrado
Sódio,mg,"25,2","0,58","0,25","1,01","0,63","3,15","1,76","4,79","2,77","42,8",BRC0006K,Nome não encontrado
Magnésio,mg,"79,9","1,84","0,80","3,20","2,00","9,99","5,60","15,2","8,79",135,BRC0006K,Nome não encontrado
Fósforo,mg,"38,2","0,88","0,38","1,53","0,95","4,77","2,67","7,25","4,20","64,9",BRC0006K,Nome não encontrado
Potássio,mg,521,"12,0","5,22","20,9","13,0","65,2","36,5","99,1","57,4",886,BRC0006K,Nome não encontrado
Manganês,mg,"2,03","0,05","0,02","0,08","0,05","0,25","0,14","0,38","0,22","3,44",BRC0006K,Nome não encontrado
Zinco,mg,"0,48","0,01","0,00","0,02","0,01","0,06","0,03","0,09","0,05","0,81",BRC0006K,Nome não encontrado
Cobre,mg,"0,17","0,00","0,00","0,01","0,00","0,02","0,01","0,03","0,02","0,29",BRC0006K,Nome não encontrado
Selênio,mcg,"1,20","0,03","0,01","0,05","0,03","0,15","0,08","0,23","0,13","2,04",BRC0006K,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0006K,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0006K,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0006K,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0006K,Nome não encontrado
Tiamina,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0006K,Nome não encontrado
Riboflavina,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0006K,Nome não encontrado
Niacina,mg,"0,11","0,00","0,00","0,00","0,00","0,01","0,01","0,02","0,01","0,18",BRC0006K,Nome não encontrado
Vitamina B6,mg,"0,04","0,00","0,00","0,00","0,00","0,01","0,00","0,01","0,00","0,07",BRC0006K,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0006K,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0006K,Nome não encontrado
Equivalente de folato,mcg,"0,98","0,02","0,01","0,04","0,02","0,12","0,07","0,19","0,11","1,67",BRC0006K,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0006K,Nome não encontrado
Açúcar de adição,g,"100,0","2,30","1,00","4,00","2,50","12,5","7,00","19,0","11,0",170,BRC0006K,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0006K,Nome não encontrado
Proteína vegetal,g,"0,76","0,02","0,01","0,03","0,02","0,09","0,05","0,14","0,08","1,29",BRC0006K,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0006K,Nome não encontrado
