componente,unidade,Valor por 100g,Colher servir cheia (50 g),Colher servir rasa (35 g),Colher sopa cheia (25 g),Colher sopa rasa (15 g),Escumadeira cheia (65 g),codigo_alimento,nome_alimento
Energia,kJ,1319,659,461,329,197,857,BRC0006M,Nome não encontrado
Energia,kcal,315,157,110,78,47,205,BRC0006M,Nome não encontrado
Umidade,g,"36,6","18,3","12,8","9,16","5,49","23,8",BRC0006M,Nome não encontrado
Carboidrato total,g,"42,6","21,3","14,9","10,6","6,39","27,7",BRC0006M,Nome não encontrado
Carboidrato disponível,g,"38,7","19,3","13,5","9,67","5,80","25,1",BRC0006M,Nome não encontrado
Proteína,g,"3,41","1,71","1,19","0,85","0,51","2,22",BRC0006M,Nome não encontrado
Lipídios,g,"15,5","7,74","5,41","3,87","2,32","10,1",BRC0006M,Nome não encontrado
Fibra alimentar,g,"3,90","1,95","1,37","0,98","0,59","2,54",BRC0006M,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0006M,Nome não encontrado
Cinzas,g,"1,91","0,96","0,67","0,48","0,29","1,24",BRC0006M,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0006M,Nome não encontrado
Ácidos graxos saturados,g,"2,27","1,14","0,79","0,57","0,34","1,48",BRC0006M,Nome não encontrado
Ácidos graxos monoinsaturados,g,"7,38","3,69","2,58","1,84","1,11","4,80",BRC0006M,Nome não encontrado
Ácidos graxos poliinsaturados,g,"4,73","2,36","1,65","1,18","0,71","3,07",BRC0006M,Nome não encontrado
Ácidos graxos trans,g,"0,06","0,03","0,02","0,02","0,01","0,04",BRC0006M,Nome não encontrado
Cálcio,mg,"19,0","9,50","6,65","4,75","2,85","12,4",BRC0006M,Nome não encontrado
Ferro,mg,"0,80","0,40","0,28","0,20","0,12","0,52",BRC0006M,Nome não encontrado
Sódio,mg,189,"94,5","66,2","47,3","28,4",122,BRC0006M,Nome não encontrado
Magnésio,mg,"37,0","18,5","13,0","9,25","5,55","24,1",BRC0006M,Nome não encontrado
Fósforo,mg,127,"63,5","44,5","31,8","19,1","82,6",BRC0006M,Nome não encontrado
Potássio,mg,596,298,208,149,"89,4",387,BRC0006M,Nome não encontrado
Manganês,mg,"0,25","0,12","0,09","0,06","0,04","0,16",BRC0006M,Nome não encontrado
Zinco,mg,"0,51","0,26","0,18","0,13","0,08","0,33",BRC0006M,Nome não encontrado
Cobre,mg,"0,11","0,06","0,04","0,03","0,02","0,07",BRC0006M,Nome não encontrado
Selênio,mcg,"0,40","0,20","0,14","0,10","0,06","0,26",BRC0006M,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0006M,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0006M,Nome não encontrado
Vitamina D,mcg,,traços,,,,,BRC0006M,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,38","0,69","0,48","0,35","0,21","0,90",BRC0006M,Nome não encontrado
Tiamina,mg,"0,18","0,09","0,06","0,05","0,03","0,12",BRC0006M,Nome não encontrado
Riboflavina,mg,"0,04","0,02","0,01","0,01","0,01","0,02",BRC0006M,Nome não encontrado
Niacina,mg,"3,22","1,61","1,13","0,81","0,48","2,09",BRC0006M,Nome não encontrado
Vitamina B6,mg,"0,38","0,19","0,13","0,10","0,06","0,25",BRC0006M,Nome não encontrado
Vitamina B12,mcg,,traços,,,,,BRC0006M,Nome não encontrado
Vitamina C,mg,"5,60","2,80","1,96","1,40","0,84","3,64",BRC0006M,Nome não encontrado
Equivalente de folato,mcg,,traços,,,,,BRC0006M,Nome não encontrado
Sal de adição,g,,traços,,,,,BRC0006M,Nome não encontrado
Açúcar de adição,g,,traços,,,,,BRC0006M,Nome não encontrado
Gordura de adição,g,,traços,,,,,BRC0006M,Nome não encontrado
Proteína vegetal,g,"3,41","1,71","1,19","0,85","0,51","2,22",BRC0006M,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0006M,Nome não encontrado
