componente,unidade,Valor por 100g,Colher sopa cheia (30 g),Colher sopa rasa (15 g),codigo_alimento,nome_alimento
Energia,kJ,945,283,141,BRC0007G,Nome não encontrado
Energia,kcal,229,68,34,BRC0007G,Nome não encontrado
Umidade,g,"69,0","20,7","10,4",BRC0007G,Nome não encontrado
Carboidrato total,g,"1,70","0,51","0,26",BRC0007G,Nome não encontrado
Carboidrato disponível,g,"1,70","0,51","0,26",BRC0007G,Nome não encontrado
Proteína,g,"6,00","1,80","0,90",BRC0007G,Nome não encontrado
Lipídios,g,"22,0","6,60","3,30",BRC0007G,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00",BRC0007G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0007G,Nome não encontrado
Cinzas,g,"1,30","0,39","0,20",BRC0007G,Nome não encontrado
Colesterol,mg,"69,2","20,8","10,4",BRC0007G,Nome não encontrado
Ácidos graxos saturados,g,"13,9","4,16","2,08",BRC0007G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"6,21","1,86","0,93",BRC0007G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,80","0,24","0,12",BRC0007G,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0007G,Nome não encontrado
Cálcio,mg,"53,0","15,9","7,96",BRC0007G,Nome não encontrado
Ferro,mg,"0,84","0,25","0,13",BRC0007G,Nome não encontrado
Sódio,mg,325,"97,7","48,9",BRC0007G,Nome não encontrado
Magnésio,mg,"4,48","1,34","0,67",BRC0007G,Nome não encontrado
Fósforo,mg,"68,0","20,4","10,2",BRC0007G,Nome não encontrado
Potássio,mg,"83,7","25,1","12,5",BRC0007G,Nome não encontrado
Manganês,mg,"0,00","0,00","0,00",BRC0007G,Nome não encontrado
Zinco,mg,"0,38","0,11","0,06",BRC0007G,Nome não encontrado
Cobre,mg,"0,00","0,00","0,00",BRC0007G,Nome não encontrado
Selênio,mcg,,,,BRC0007G,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0007G,Nome não encontrado
Vitamina A (RAE),mcg,232,"69,7","34,8",BRC0007G,Nome não encontrado
Vitamina D,mcg,"0,39","0,12","0,06",BRC0007G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,59","0,18","0,09",BRC0007G,Nome não encontrado
Tiamina,mg,"0,01","0,00","0,00",BRC0007G,Nome não encontrado
Riboflavina,mg,"0,13","0,04","0,02",BRC0007G,Nome não encontrado
Niacina,mg,"0,65","0,20","0,10",BRC0007G,Nome não encontrado
Vitamina B6,mg,"0,03","0,01","0,00",BRC0007G,Nome não encontrado
Vitamina B12,mcg,"0,28","0,08","0,04",BRC0007G,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00",BRC0007G,Nome não encontrado
Equivalente de folato,mcg,"8,27","2,48","1,24",BRC0007G,Nome não encontrado
Sal de adição,g,,,,BRC0007G,Nome não encontrado
Açúcar de adição,g,,,,BRC0007G,Nome não encontrado
Gordura de adição,g,,,,BRC0007G,Nome não encontrado
Proteína vegetal,g,,,,BRC0007G,Nome não encontrado
Proteína animal,g,,,,BRC0007G,Nome não encontrado
