componente,unidade,Valor por 100g,Colher servir rasa (40 g),codigo_alimento,nome_alimento
Energia,kJ,452,180,BRC0008E,Nome não encontrado
Energia,kcal,107,42,BRC0008E,Nome não encontrado
Umidade,g,"75,7","30,3",BRC0008E,Nome não encontrado
Carboidrato total,g,"0,00","0,00",BRC0008E,Nome não encontrado
Carboidrato disponível,g,"0,00","0,00",BRC0008E,Nome não encontrado
Proteína,g,"19,2","7,68",BRC0008E,Nome não encontrado
Lipídios,g,"3,40","1,36",BRC0008E,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0008E,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0008E,Nome não encontrado
Cinzas,g,"1,67","0,67",BRC0008E,Nome não encontrado
Colesterol,mg,245,"98,2",BRC0008E,Nome não encontrado
Ácidos graxos saturados,g,"0,70","0,28",BRC0008E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,60","0,24",BRC0008E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,22","0,49",BRC0008E,Nome não encontrado
Ácidos graxos trans,g,,,BRC0008E,Nome não encontrado
Cálcio,mg,102,"41,2",BRC0008E,Nome não encontrado
Ferro,mg,"0,86","0,34",BRC0008E,Nome não encontrado
Sódio,mg,,,BRC0008E,Nome não encontrado
Magnésio,mg,"39,3","15,7",BRC0008E,Nome não encontrado
Fósforo,mg,265,106,BRC0008E,Nome não encontrado
Potássio,mg,380,152,BRC0008E,Nome não encontrado
Manganês,mg,"0,17","0,07",BRC0008E,Nome não encontrado
Zinco,mg,"1,57","0,63",BRC0008E,Nome não encontrado
Cobre,mg,"1,60","0,64",BRC0008E,Nome não encontrado
Selênio,mcg,,,BRC0008E,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0008E,Nome não encontrado
Vitamina A (RAE),mcg,"6,30","2,52",BRC0008E,Nome não encontrado
Vitamina D,mcg,,,BRC0008E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0008E,Nome não encontrado
Tiamina,mg,"0,09","0,04",BRC0008E,Nome não encontrado
Riboflavina,mg,"0,05","0,02",BRC0008E,Nome não encontrado
Niacina,mg,"3,13","1,25",BRC0008E,Nome não encontrado
Vitamina B6,mg,"0,17","0,07",BRC0008E,Nome não encontrado
Vitamina B12,mcg,"10,4","4,17",BRC0008E,Nome não encontrado
Vitamina C,mg,"3,47","1,39",BRC0008E,Nome não encontrado
Equivalente de folato,mcg,"50,9","20,4",BRC0008E,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0008E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0008E,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0008E,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0008E,Nome não encontrado
Proteína animal,g,"19,2","7,68",BRC0008E,Nome não encontrado
