componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (60 g),codigo_alimento,nome_alimento
Energia,kJ,889,533,BRC0008U,Nome não encontrado
Energia,kcal,212,127,BRC0008U,Nome não encontrado
Umidade,g,"53,3","32,0",BRC0008U,Nome não encontrado
Carboidrato total,g,"35,4","21,2",BRC0008U,Nome não encontrado
Carboidrato disponível,g,"29,0","17,4",BRC0008U,Nome não encontrado
Proteína,g,"2,59","1,55",BRC0008U,Nome não encontrado
Lipídios,g,"8,14","4,88",BRC0008U,Nome não encontrado
Fibra alimentar,g,"6,39","3,83",BRC0008U,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0008U,Nome não encontrado
Cinzas,g,"0,62","0,37",BRC0008U,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0008U,Nome não encontrado
Ácidos graxos saturados,g,"1,96","1,17",BRC0008U,Nome não encontrado
Ácidos graxos monoinsaturados,g,"4,33","2,60",BRC0008U,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,23","0,14",BRC0008U,Nome não encontrado
Ácidos graxos trans,g,,,BRC0008U,Nome não encontrado
Cálcio,mg,"19,8","11,9",BRC0008U,Nome não encontrado
Ferro,mg,"0,46","0,27",BRC0008U,Nome não encontrado
Sódio,mg,"0,32","0,19",BRC0008U,Nome não encontrado
Magnésio,mg,"18,7","11,2",BRC0008U,Nome não encontrado
Fósforo,mg,"50,0","30,0",BRC0008U,Nome não encontrado
Potássio,mg,250,150,BRC0008U,Nome não encontrado
Manganês,mg,"0,10","0,06",BRC0008U,Nome não encontrado
Zinco,mg,"0,27","0,16",BRC0008U,Nome não encontrado
Cobre,mg,"0,29","0,17",BRC0008U,Nome não encontrado
Selênio,mcg,"3,41","2,04",BRC0008U,Nome não encontrado
Vitamina A (RE),mcg,393,235,BRC0008U,Nome não encontrado
Vitamina A (RAE),mcg,196,118,BRC0008U,Nome não encontrado
Vitamina D,mcg,,,BRC0008U,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0008U,Nome não encontrado
Tiamina,mg,traços,traços,BRC0008U,Nome não encontrado
Riboflavina,mg,"0,09","0,05",BRC0008U,Nome não encontrado
Niacina,mg,traços,traços,BRC0008U,Nome não encontrado
Vitamina B6,mg,"0,03","0,02",BRC0008U,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0008U,Nome não encontrado
Vitamina C,mg,"2,24","1,34",BRC0008U,Nome não encontrado
Equivalente de folato,mcg,,,BRC0008U,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0008U,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0008U,Nome não encontrado
Gordura de adição,g,,"0,00",BRC0008U,Nome não encontrado
Proteína vegetal,g,"2,59","1,55",BRC0008U,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0008U,Nome não encontrado
