componente,unidade,Valor por 100g,Colher servir rasa (22 g),Colher sopa cheia (8 g),codigo_alimento,nome_alimento
Energia,kJ,37,8,2,BRC0009B,Nome não encontrado
Energia,kcal,9,1,0,BRC0009B,Nome não encontrado
Umidade,g,"96,4","21,2","7,72",BRC0009B,Nome não encontrado
Carboidrato total,g,"1,79","0,39","0,14",BRC0009B,Nome não encontrado
Carboidrato disponível,g,"0,00","0,00","0,00",BRC0009B,Nome não encontrado
Proteína,g,"1,08","0,24","0,09",BRC0009B,Nome não encontrado
Lipídios,g,"0,12","0,03","0,01",BRC0009B,Nome não encontrado
Fibra alimentar,g,"1,79","0,39","0,14",BRC0009B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0009B,Nome não encontrado
Cinzas,g,"0,56","0,12","0,04",BRC0009B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0009B,Nome não encontrado
Ácidos graxos saturados,g,"0,02","0,00","0,00",BRC0009B,Nome não encontrado
Ácidos graxos monoinsaturados,g,traços,traços,traços,BRC0009B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,08","0,02","0,01",BRC0009B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0009B,Nome não encontrado
Cálcio,mg,"37,5","8,25","3,00",BRC0009B,Nome não encontrado
Ferro,mg,"0,75","0,17","0,06",BRC0009B,Nome não encontrado
Sódio,mg,"4,20","0,92","0,34",BRC0009B,Nome não encontrado
Magnésio,mg,"12,7","2,79","1,02",BRC0009B,Nome não encontrado
Fósforo,mg,"26,0","5,71","2,08",BRC0009B,Nome não encontrado
Potássio,mg,311,"68,5","24,9",BRC0009B,Nome não encontrado
Manganês,mg,"0,36","0,08","0,03",BRC0009B,Nome não encontrado
Zinco,mg,"0,29","0,06","0,02",BRC0009B,Nome não encontrado
Cobre,mg,"0,03","0,01","0,00",BRC0009B,Nome não encontrado
Selênio,mcg,"0,20","0,04","0,02",BRC0009B,Nome não encontrado
Vitamina A (RE),mcg,364,"80,2","29,2",BRC0009B,Nome não encontrado
Vitamina A (RAE),mcg,182,"40,1","14,6",BRC0009B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0009B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,18","0,04","0,01",BRC0009B,Nome não encontrado
Tiamina,mg,"0,10","0,02","0,01",BRC0009B,Nome não encontrado
Riboflavina,mg,"0,10","0,02","0,01",BRC0009B,Nome não encontrado
Niacina,mg,"0,92","0,20","0,07",BRC0009B,Nome não encontrado
Vitamina B6,mg,"0,04","0,01","0,00",BRC0009B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0009B,Nome não encontrado
Vitamina C,mg,"18,5","4,07","1,48",BRC0009B,Nome não encontrado
Equivalente de folato,mcg,"26,9","5,92","2,15",BRC0009B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0009B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0009B,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0009B,Nome não encontrado
Proteína vegetal,g,"1,08","0,24","0,09",BRC0009B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0009B,Nome não encontrado
