componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (200 g),codigo_alimento,nome_alimento
Energia,kJ,1032,2064,BRC0009M,Nome não encontrado
Energia,kcal,248,495,BRC0009M,Nome não encontrado
Umidade,g,"54,9",109,BRC0009M,Nome não encontrado
Carboidrato total,g,"16,7","33,4",BRC0009M,Nome não encontrado
Carboidrato disponível,g,"15,7","31,4",BRC0009M,Nome não encontrado
Proteína,g,"11,2","22,4",BRC0009M,Nome não encontrado
Lipídios,g,"15,3","30,7",BRC0009M,Nome não encontrado
Fibra alimentar,g,"1,00","2,00",BRC0009M,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0009M,Nome não encontrado
Cinzas,g,"1,86","3,72",BRC0009M,Nome não encontrado
Colesterol,mg,"36,0","72,0",BRC0009M,Nome não encontrado
Ácidos graxos saturados,g,"5,78","11,6",BRC0009M,Nome não encontrado
Ácidos graxos monoinsaturados,g,"5,06","10,1",BRC0009M,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,78","7,57",BRC0009M,Nome não encontrado
Ácidos graxos trans,g,,,BRC0009M,Nome não encontrado
Cálcio,mg,"82,0",164,BRC0009M,Nome não encontrado
Ferro,mg,"2,00","4,00",BRC0009M,Nome não encontrado
Sódio,mg,453,906,BRC0009M,Nome não encontrado
Magnésio,mg,"18,0","36,0",BRC0009M,Nome não encontrado
Fósforo,mg,113,226,BRC0009M,Nome não encontrado
Potássio,mg,169,338,BRC0009M,Nome não encontrado
Manganês,mg,"0,18","0,36",BRC0009M,Nome não encontrado
Zinco,mg,"1,60","3,20",BRC0009M,Nome não encontrado
Cobre,mg,"0,05","0,11",BRC0009M,Nome não encontrado
Selênio,mcg,"18,4","36,8",BRC0009M,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0009M,Nome não encontrado
Vitamina A (RAE),mcg,,,BRC0009M,Nome não encontrado
Vitamina D,mcg,,,BRC0009M,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,08","0,16",BRC0009M,Nome não encontrado
Tiamina,mg,"0,21","0,43",BRC0009M,Nome não encontrado
Riboflavina,mg,"0,20","0,40",BRC0009M,Nome não encontrado
Niacina,mg,"2,56","5,12",BRC0009M,Nome não encontrado
Vitamina B6,mg,"0,07","0,15",BRC0009M,Nome não encontrado
Vitamina B12,mcg,,,BRC0009M,Nome não encontrado
Vitamina C,mg,"0,20","0,40",BRC0009M,Nome não encontrado
Equivalente de folato,mcg,"72,0",144,BRC0009M,Nome não encontrado
Sal de adição,g,,,BRC0009M,Nome não encontrado
Açúcar de adição,g,,,BRC0009M,Nome não encontrado
Gordura de adição,g,,,BRC0009M,Nome não encontrado
Proteína vegetal,g,,,BRC0009M,Nome não encontrado
Proteína animal,g,,,BRC0009M,Nome não encontrado
