componente,unidade,Valor por 100g,Colher chá cheia (12 g),Colher servir cheia (115 g),Colher servir rasa (65 g),Colher sobremesa cheia (20 g),Colher sobremesa rasa (10 g),Colher sopa cheia (40 g),Colher sopa rasa (20 g),Pedaço/ Unidade/ Fatia (M) (38 g),codigo_alimento,nome_alimento
Energia,kJ,931,111,1070,605,186,93,372,186,353,BRC0013K,Nome não encontrado
Energia,kcal,219,26,252,142,43,21,87,43,83,BRC0013K,Nome não encontrado
Umidade,g,"43,9","5,27","50,5","28,5","8,78","4,39","17,6","8,78","16,7",BRC0013K,Nome não encontrado
Carboidrato total,g,"54,6","6,55","62,8","35,5","10,9","5,46","21,8","10,9","20,8",BRC0013K,Nome não encontrado
Carboidrato disponível,g,"52,3","6,28","60,2","34,0","10,5","5,23","20,9","10,5","19,9",BRC0013K,Nome não encontrado
Proteína,g,"0,92","0,11","1,05","0,60","0,18","0,09","0,37","0,18","0,35",BRC0013K,Nome não encontrado
Lipídios,g,"0,21","0,02","0,24","0,13","0,04","0,02","0,08","0,04","0,08",BRC0013K,Nome não encontrado
Fibra alimentar,g,"2,28","0,27","2,62","1,48","0,46","0,23","0,91","0,46","0,87",BRC0013K,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0013K,Nome não encontrado
Cinzas,g,"0,38","0,05","0,44","0,25","0,08","0,04","0,15","0,08","0,15",BRC0013K,Nome não encontrado
Colesterol,mg,,,,,,,,,,BRC0013K,Nome não encontrado
Ácidos graxos saturados,g,traços,traços,traços,traços,traços,traços,traços,traços,traços,BRC0013K,Nome não encontrado
Ácidos graxos monoinsaturados,g,traços,traços,traços,traços,traços,traços,traços,traços,traços,BRC0013K,Nome não encontrado
Ácidos graxos poliinsaturados,g,traços,traços,traços,traços,traços,traços,traços,traços,traços,BRC0013K,Nome não encontrado
Ácidos graxos trans,g,,,,,,,,,,BRC0013K,Nome não encontrado
Cálcio,mg,"13,0","1,56","14,9","8,44","2,60","1,30","5,19","2,60","4,94",BRC0013K,Nome não encontrado
Ferro,mg,"0,85","0,10","0,98","0,55","0,17","0,09","0,34","0,17","0,32",BRC0013K,Nome não encontrado
Sódio,mg,traços,traços,traços,traços,traços,traços,traços,traços,traços,BRC0013K,Nome não encontrado
Magnésio,mg,"5,52","0,66","6,35","3,59","1,10","0,55","2,21","1,10","2,10",BRC0013K,Nome não encontrado
Fósforo,mg,"13,7","1,65","15,8","8,93","2,75","1,37","5,49","2,75","5,22",BRC0013K,Nome não encontrado
Potássio,mg,136,"16,4",157,"88,9","27,3","13,7","54,7","27,3","52,0",BRC0013K,Nome não encontrado
Manganês,mg,"0,01","0,00","0,01","0,01","0,00","0,00","0,00","0,00","0,00",BRC0013K,Nome não encontrado
Zinco,mg,traços,traços,traços,traços,traços,traços,traços,traços,traços,BRC0013K,Nome não encontrado
Cobre,mg,traços,traços,traços,traços,traços,traços,traços,traços,traços,BRC0013K,Nome não encontrado
Selênio,mcg,,,,,,,,,,BRC0013K,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0013K,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0013K,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0013K,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,35","0,04","0,41","0,23","0,07","0,04","0,14","0,07","0,13",BRC0013K,Nome não encontrado
Tiamina,mg,"0,08","0,01","0,09","0,05","0,02","0,01","0,03","0,02","0,03",BRC0013K,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,traços,traços,traços,traços,BRC0013K,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,traços,traços,traços,traços,BRC0013K,Nome não encontrado
Vitamina B6,mg,"0,04","0,00","0,05","0,03","0,01","0,00","0,02","0,01","0,02",BRC0013K,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0013K,Nome não encontrado
Vitamina C,mg,"0,11","0,01","0,13","0,07","0,02","0,01","0,05","0,02","0,04",BRC0013K,Nome não encontrado
Equivalente de folato,mcg,"8,88","1,07","10,2","5,77","1,78","0,89","3,55","1,78","3,37",BRC0013K,Nome não encontrado
Sal de adição,g,,,,,,,,,,BRC0013K,Nome não encontrado
Açúcar de adição,g,,,,,,,,,,BRC0013K,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,-,-,-,-,BRC0013K,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,-,-,-,-,BRC0013K,Nome não encontrado
Proteína animal,g,-,-,-,-,-,-,-,-,-,BRC0013K,Nome não encontrado
