componente,unidade,Valor por 100g,Colher sopa rasa (14 g),codigo_alimento,nome_alimento
Energia,kJ,2307,322,BRC0014J,Nome não encontrado
Energia,kcal,554,77,BRC0014J,Nome não encontrado
Umidade,g,"4,00","0,56",BRC0014J,Nome não encontrado
Carboidrato total,g,"9,00","1,26",BRC0014J,Nome não encontrado
Carboidrato disponível,g,"9,00","1,26",BRC0014J,Nome não encontrado
Proteína,g,"44,0","6,16",BRC0014J,Nome não encontrado
Lipídios,g,"38,0","5,32",BRC0014J,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0014J,Nome não encontrado
Álcool,g,,,BRC0014J,Nome não encontrado
Cinzas,g,"5,00","0,70",BRC0014J,Nome não encontrado
Colesterol,mg,1519,212,BRC0014J,Nome não encontrado
Ácidos graxos saturados,g,"11,1","1,55",BRC0014J,Nome não encontrado
Ácidos graxos monoinsaturados,g,"15,4","2,15",BRC0014J,Nome não encontrado
Ácidos graxos poliinsaturados,g,"5,12","0,72",BRC0014J,Nome não encontrado
Ácidos graxos trans,g,"0,23","0,03",BRC0014J,Nome não encontrado
Cálcio,mg,165,"23,1",BRC0014J,Nome não encontrado
Ferro,mg,"6,15","0,86",BRC0014J,Nome não encontrado
Sódio,mg,660,"92,5",BRC0014J,Nome não encontrado
Magnésio,mg,"49,8","6,97",BRC0014J,Nome não encontrado
Fósforo,mg,646,"90,5",BRC0014J,Nome não encontrado
Potássio,mg,590,"82,6",BRC0014J,Nome não encontrado
Manganês,mg,traços,traços,BRC0014J,Nome não encontrado
Zinco,mg,"4,26","0,60",BRC0014J,Nome não encontrado
Cobre,mg,"0,24","0,03",BRC0014J,Nome não encontrado
Selênio,mcg,,,BRC0014J,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0014J,Nome não encontrado
Vitamina A (RAE),mcg,,,BRC0014J,Nome não encontrado
Vitamina D,mcg,"7,19","1,01",BRC0014J,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"3,36","0,47",BRC0014J,Nome não encontrado
Tiamina,mg,"0,28","0,04",BRC0014J,Nome não encontrado
Riboflavina,mg,"2,28","0,32",BRC0014J,Nome não encontrado
Niacina,mg,"2,95","0,41",BRC0014J,Nome não encontrado
Vitamina B6,mg,"0,49","0,07",BRC0014J,Nome não encontrado
Vitamina B12,mcg,"2,92","0,41",BRC0014J,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0014J,Nome não encontrado
Equivalente de folato,mcg,117,"16,5",BRC0014J,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0014J,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0014J,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0014J,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0014J,Nome não encontrado
Proteína animal,g,"44,0","6,16",BRC0014J,Nome não encontrado
