componente,unidade,Valor por 100g,Colher servir cheia (55 g),Colher sopa cheia (20 g),Escumadeira cheia (85 g),codigo_alimento,nome_alimento
Energia,kJ,455,250,90,386,BRC0016A,Nome não encontrado
Energia,kcal,108,59,21,91,BRC0016A,Nome não encontrado
Umidade,g,"72,8","40,0","14,6","61,9",BRC0016A,Nome não encontrado
Carboidrato total,g,"23,5","12,9","4,71","20,0",BRC0016A,Nome não encontrado
Carboidrato disponível,g,"21,4","11,8","4,28","18,2",BRC0016A,Nome não encontrado
Proteína,g,"2,44","1,34","0,49","2,08",BRC0016A,Nome não encontrado
Lipídios,g,"0,87","0,48","0,17","0,74",BRC0016A,Nome não encontrado
Fibra alimentar,g,"2,13","1,17","0,43","1,81",BRC0016A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0016A,Nome não encontrado
Cinzas,g,"0,34","0,19","0,07","0,29",BRC0016A,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0016A,Nome não encontrado
Ácidos graxos saturados,g,"0,26","0,14","0,05","0,22",BRC0016A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,35","0,19","0,07","0,30",BRC0016A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,26","0,14","0,05","0,22",BRC0016A,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0016A,Nome não encontrado
Cálcio,mg,"4,74","2,61","0,95","4,03",BRC0016A,Nome não encontrado
Ferro,mg,"0,24","0,13","0,05","0,20",BRC0016A,Nome não encontrado
Sódio,mg,"1,13","0,62","0,23","0,96",BRC0016A,Nome não encontrado
Magnésio,mg,"53,5","29,4","10,7","45,4",BRC0016A,Nome não encontrado
Fósforo,mg,"96,4","53,0","19,3","81,9",BRC0016A,Nome não encontrado
Potássio,mg,"68,4","37,6","13,7","58,2",BRC0016A,Nome não encontrado
Manganês,mg,"0,87","0,48","0,17","0,74",BRC0016A,Nome não encontrado
Zinco,mg,"0,62","0,34","0,12","0,53",BRC0016A,Nome não encontrado
Cobre,mg,"0,02","0,01","0,00","0,02",BRC0016A,Nome não encontrado
Selênio,mcg,,,,,BRC0016A,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00",BRC0016A,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00",BRC0016A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0016A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,19","0,11","0,04","0,16",BRC0016A,Nome não encontrado
Tiamina,mg,"0,07","0,04","0,01","0,06",BRC0016A,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,BRC0016A,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,BRC0016A,Nome não encontrado
Vitamina B6,mg,"0,07","0,04","0,01","0,06",BRC0016A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0016A,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00",BRC0016A,Nome não encontrado
Equivalente de folato,mcg,"4,02","2,21","0,80","3,42",BRC0016A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0016A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0016A,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00",BRC0016A,Nome não encontrado
Proteína vegetal,g,"2,44","1,34","0,49","2,08",BRC0016A,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00",BRC0016A,Nome não encontrado
