componente,unidade,Valor por 100g,Colher sopa rasa (15 g),codigo_alimento,nome_alimento
Energia,kJ,390,58,BRC0016L,Nome não encontrado
Energia,kcal,92,13,BRC0016L,Nome não encontrado
Umidade,g,"68,6","10,3",BRC0016L,Nome não encontrado
Carboidrato total,g,"21,4","3,20",BRC0016L,Nome não encontrado
Carboidrato disponível,g,"21,3","3,19",BRC0016L,Nome não encontrado
Proteína,g,"0,79","0,12",BRC0016L,Nome não encontrado
Lipídios,g,"0,40","0,06",BRC0016L,Nome não encontrado
Fibra alimentar,g,"0,10","0,02",BRC0016L,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0016L,Nome não encontrado
Cinzas,g,"8,84","1,33",BRC0016L,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0016L,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00",BRC0016L,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00",BRC0016L,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00",BRC0016L,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0016L,Nome não encontrado
Cálcio,mg,"24,3","3,64",BRC0016L,Nome não encontrado
Ferro,mg,"1,65","0,25",BRC0016L,Nome não encontrado
Sódio,mg,3723,558,BRC0016L,Nome não encontrado
Magnésio,mg,"59,3","8,89",BRC0016L,Nome não encontrado
Fósforo,mg,149,"22,4",BRC0016L,Nome não encontrado
Potássio,mg,218,"32,8",BRC0016L,Nome não encontrado
Manganês,mg,,,BRC0016L,Nome não encontrado
Zinco,mg,"0,10","0,01",BRC0016L,Nome não encontrado
Cobre,mg,,,BRC0016L,Nome não encontrado
Selênio,mcg,,,BRC0016L,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0016L,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0016L,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0016L,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00",BRC0016L,Nome não encontrado
Tiamina,mg,"0,03","0,00",BRC0016L,Nome não encontrado
Riboflavina,mg,"0,07","0,01",BRC0016L,Nome não encontrado
Niacina,mg,"1,23","0,19",BRC0016L,Nome não encontrado
Vitamina B6,mg,"0,10","0,01",BRC0016L,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0016L,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0016L,Nome não encontrado
Equivalente de folato,mcg,"7,77","1,17",BRC0016L,Nome não encontrado
Sal de adição,g,,,BRC0016L,Nome não encontrado
Açúcar de adição,g,,,BRC0016L,Nome não encontrado
Gordura de adição,g,,,BRC0016L,Nome não encontrado
Proteína vegetal,g,,,BRC0016L,Nome não encontrado
Proteína animal,g,,,BRC0016L,Nome não encontrado
