componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (100 g),codigo_alimento,nome_alimento
Energia,kJ,356,356,BRC0017G,Nome não encontrado
Energia,kcal,84,84,BRC0017G,Nome não encontrado
Umidade,g,"80,8","80,8",BRC0017G,Nome não encontrado
Carboidrato total,g,"13,9","13,9",BRC0017G,Nome não encontrado
Carboidrato disponível,g,"13,7","13,7",BRC0017G,Nome não encontrado
Proteína,g,"2,63","2,63",BRC0017G,Nome não encontrado
Lipídios,g,"2,09","2,09",BRC0017G,Nome não encontrado
Fibra alimentar,g,"0,11","0,11",BRC0017G,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0017G,Nome não encontrado
Cinzas,g,"0,66","0,66",BRC0017G,Nome não encontrado
Colesterol,mg,"7,49","7,49",BRC0017G,Nome não encontrado
Ácidos graxos saturados,g,"1,40","1,40",BRC0017G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,70","0,70",BRC0017G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,10","0,10",BRC0017G,Nome não encontrado
Ácidos graxos trans,g,,,BRC0017G,Nome não encontrado
Cálcio,mg,"97,8","97,8",BRC0017G,Nome não encontrado
Ferro,mg,"0,23","0,23",BRC0017G,Nome não encontrado
Sódio,mg,"41,9","41,9",BRC0017G,Nome não encontrado
Magnésio,mg,"7,92","7,92",BRC0017G,Nome não encontrado
Fósforo,mg,"61,5","61,5",BRC0017G,Nome não encontrado
Potássio,mg,"92,1","92,1",BRC0017G,Nome não encontrado
Manganês,mg,traços,traços,BRC0017G,Nome não encontrado
Zinco,mg,"0,30","0,30",BRC0017G,Nome não encontrado
Cobre,mg,"0,03","0,03",BRC0017G,Nome não encontrado
Selênio,mcg,,,BRC0017G,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0017G,Nome não encontrado
Vitamina A (RAE),mcg,,,BRC0017G,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0017G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,09","0,09",BRC0017G,Nome não encontrado
Tiamina,mg,"0,03","0,03",BRC0017G,Nome não encontrado
Riboflavina,mg,"0,12","0,12",BRC0017G,Nome não encontrado
Niacina,mg,traços,traços,BRC0017G,Nome não encontrado
Vitamina B6,mg,"0,02","0,02",BRC0017G,Nome não encontrado
Vitamina B12,mcg,"0,39","0,39",BRC0017G,Nome não encontrado
Vitamina C,mg,traços,traços,BRC0017G,Nome não encontrado
Equivalente de folato,mcg,"7,42","7,42",BRC0017G,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0017G,Nome não encontrado
Açúcar de adição,g,,,BRC0017G,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0017G,Nome não encontrado
Proteína vegetal,g,,,BRC0017G,Nome não encontrado
Proteína animal,g,,,BRC0017G,Nome não encontrado
