componente,unidade,Valor por 100g,Colher sopa rasa (15 g),codigo_alimento,nome_alimento
Energia,kJ,1216,182,BRC0017U,Nome não encontrado
Energia,kcal,288,43,BRC0017U,Nome não encontrado
Umidade,g,"15,8","2,37",BRC0017U,Nome não encontrado
Carboidrato total,g,"79,2","11,9",BRC0017U,Nome não encontrado
Carboidrato disponível,g,"61,3","9,20",BRC0017U,Nome não encontrado
Proteína,g,"1,41","0,21",BRC0017U,Nome não encontrado
Lipídios,g,"0,20","0,03",BRC0017U,Nome não encontrado
Fibra alimentar,g,"17,9","2,68",BRC0017U,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0017U,Nome não encontrado
Cinzas,g,"3,40","0,51",BRC0017U,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0017U,Nome não encontrado
Ácidos graxos saturados,g,,,BRC0017U,Nome não encontrado
Ácidos graxos monoinsaturados,g,,,BRC0017U,Nome não encontrado
Ácidos graxos poliinsaturados,g,,,BRC0017U,Nome não encontrado
Ácidos graxos trans,g,,,BRC0017U,Nome não encontrado
Cálcio,mg,"61,0","9,14",BRC0017U,Nome não encontrado
Ferro,mg,"18,3","2,75",BRC0017U,Nome não encontrado
Sódio,mg,"12,5","1,87",BRC0017U,Nome não encontrado
Magnésio,mg,"39,3","5,90",BRC0017U,Nome não encontrado
Fósforo,mg,"25,6","3,83",BRC0017U,Nome não encontrado
Potássio,mg,362,"54,3",BRC0017U,Nome não encontrado
Manganês,mg,"0,38","0,06",BRC0017U,Nome não encontrado
Zinco,mg,"0,34","0,05",BRC0017U,Nome não encontrado
Cobre,mg,"0,22","0,03",BRC0017U,Nome não encontrado
Selênio,mcg,,,BRC0017U,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0017U,Nome não encontrado
Vitamina A (RAE),mcg,,,BRC0017U,Nome não encontrado
Vitamina D,mcg,,,BRC0017U,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0017U,Nome não encontrado
Tiamina,mg,traços,traços,BRC0017U,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0017U,Nome não encontrado
Niacina,mg,"2,58","0,39",BRC0017U,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0017U,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0017U,Nome não encontrado
Vitamina C,mg,traços,traços,BRC0017U,Nome não encontrado
Equivalente de folato,mcg,,,BRC0017U,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0017U,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0017U,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0017U,Nome não encontrado
Proteína vegetal,g,"1,41","0,21",BRC0017U,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0017U,Nome não encontrado
