componente,unidade,Valor por 100g,Colher servir cheia (55 g),Colher sopa cheia (20 g),Escumadeira cheia (85 g),codigo_alimento,nome_alimento
Energia,kJ,555,305,111,471,BRC0018A,Nome não encontrado
Energia,kcal,131,71,26,111,BRC0018A,Nome não encontrado
Umidade,g,"66,9","36,8","13,4","56,9",BRC0018A,Nome não encontrado
Carboidrato total,g,"30,0","16,5","6,01","25,5",BRC0018A,Nome não encontrado
Carboidrato disponível,g,"28,8","15,9","5,77","24,5",BRC0018A,Nome não encontrado
Proteína,g,"2,38","1,31","0,48","2,02",BRC0018A,Nome não encontrado
Lipídios,g,"0,41","0,22","0,08","0,35",BRC0018A,Nome não encontrado
Fibra alimentar,g,"1,20","0,66","0,24","1,02",BRC0018A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0018A,Nome não encontrado
Cinzas,g,"0,30","0,17","0,06","0,26",BRC0018A,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0018A,Nome não encontrado
Ácidos graxos saturados,g,"0,15","0,08","0,03","0,13",BRC0018A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,05","0,03","0,01","0,04",BRC0018A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,05","0,03","0,01","0,04",BRC0018A,Nome não encontrado
Ácidos graxos trans,g,traços,traços,traços,traços,BRC0018A,Nome não encontrado
Cálcio,mg,"5,17","2,84","1,03","4,39",BRC0018A,Nome não encontrado
Ferro,mg,"0,33","0,18","0,07","0,28",BRC0018A,Nome não encontrado
Sódio,mg,"1,58","0,87","0,32","1,34",BRC0018A,Nome não encontrado
Magnésio,mg,"24,1","13,3","4,82","20,5",BRC0018A,Nome não encontrado
Fósforo,mg,"19,7","10,9","3,95","16,8",BRC0018A,Nome não encontrado
Potássio,mg,"17,4","9,59","3,49","14,8",BRC0018A,Nome não encontrado
Manganês,mg,"1,04","0,57","0,21","0,88",BRC0018A,Nome não encontrado
Zinco,mg,"0,52","0,29","0,10","0,44",BRC0018A,Nome não encontrado
Cobre,mg,"0,15","0,08","0,03","0,13",BRC0018A,Nome não encontrado
Selênio,mcg,"1,70","0,94","0,34","1,45",BRC0018A,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00",BRC0018A,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00",BRC0018A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0018A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,03","0,01","0,01","0,02",BRC0018A,Nome não encontrado
Tiamina,mg,traços,traços,traços,traços,BRC0018A,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,BRC0018A,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,BRC0018A,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,traços,BRC0018A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0018A,Nome não encontrado
Vitamina C,mg,traços,traços,traços,traços,BRC0018A,Nome não encontrado
Equivalente de folato,mcg,"2,11","1,16","0,42","1,79",BRC0018A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0018A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0018A,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00",BRC0018A,Nome não encontrado
Proteína vegetal,g,"2,38","1,31","0,48","2,02",BRC0018A,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00",BRC0018A,Nome não encontrado
