componente,unidade,Valor por 100g,Colher servir cheia (35 g),Colher sopa cheia (27 g),Concha cheia (85 g),codigo_alimento,nome_alimento
Energia,kJ,416,145,112,353,BRC0018T,Nome não encontrado
Energia,kcal,99,34,26,83,BRC0018T,Nome não encontrado
Umidade,g,"72,0","25,2","19,4","61,2",BRC0018T,Nome não encontrado
Carboidrato total,g,"19,6","6,86","5,29","16,7",BRC0018T,Nome não encontrado
Carboidrato disponível,g,"13,2","4,60","3,55","11,2",BRC0018T,Nome não encontrado
Proteína,g,"7,30","2,56","1,97","6,21",BRC0018T,Nome não encontrado
Lipídios,g,"0,46","0,16","0,12","0,39",BRC0018T,Nome não encontrado
Fibra alimentar,g,"6,44","2,25","1,74","5,47",BRC0018T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0018T,Nome não encontrado
Cinzas,g,"0,68","0,24","0,18","0,57",BRC0018T,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0018T,Nome não encontrado
Ácidos graxos saturados,g,"0,09","0,03","0,02","0,07",BRC0018T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,09","0,03","0,02","0,07",BRC0018T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,26","0,09","0,07","0,22",BRC0018T,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0018T,Nome não encontrado
Cálcio,mg,"19,0","6,65","5,13","16,1",BRC0018T,Nome não encontrado
Ferro,mg,"1,75","0,61","0,47","1,48",BRC0018T,Nome não encontrado
Sódio,mg,"1,39","0,49","0,37","1,18",BRC0018T,Nome não encontrado
Magnésio,mg,"25,5","8,94","6,90","21,7",BRC0018T,Nome não encontrado
Fósforo,mg,122,"42,8","33,1",104,BRC0018T,Nome não encontrado
Potássio,mg,259,"90,8","70,1",220,BRC0018T,Nome não encontrado
Manganês,mg,"0,34","0,12","0,09","0,29",BRC0018T,Nome não encontrado
Zinco,mg,"1,33","0,47","0,36","1,13",BRC0018T,Nome não encontrado
Cobre,mg,"0,21","0,07","0,06","0,18",BRC0018T,Nome não encontrado
Selênio,mcg,"0,03","0,01","0,01","0,03",BRC0018T,Nome não encontrado
Vitamina A (RE),mcg,,,,,BRC0018T,Nome não encontrado
Vitamina A (RAE),mcg,,,,,BRC0018T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0018T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,13","0,05","0,04","0,11",BRC0018T,Nome não encontrado
Tiamina,mg,"0,04","0,01","0,01","0,03",BRC0018T,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,BRC0018T,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,BRC0018T,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,traços,BRC0018T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0018T,Nome não encontrado
Vitamina C,mg,traços,traços,traços,traços,BRC0018T,Nome não encontrado
Equivalente de folato,mcg,166,"58,3","45,0",141,BRC0018T,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0018T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0018T,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00",BRC0018T,Nome não encontrado
Proteína vegetal,g,"7,30","2,56","1,97","6,21",BRC0018T,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00",BRC0018T,Nome não encontrado
