componente,unidade,Valor por 100g,Colher chá cheia (9.5 g),Colher chá rasa (4 g),Colher sobremesa cheia (26 g),Colher sobremesa rasa (11 g),Colher sopa cheia (34 g),Colher sopa rasa (22 g),Copo americano duplo (320 g),Copo americano pequeno (230 g),codigo_alimento,nome_alimento
Energia,kJ,1154,109,46,300,126,392,253,3692,2654,BRC0020K,Nome não encontrado
Energia,kcal,272,25,10,70,29,92,59,870,625,BRC0020K,Nome não encontrado
Umidade,g,"31,7","3,02","1,27","8,25","3,49","10,8","6,98",101,"73,0",BRC0020K,Nome não encontrado
Carboidrato total,g,"67,3","6,40","2,69","17,5","7,41","22,9","14,8",215,154,BRC0020K,Nome não encontrado
Carboidrato disponível,g,"66,3","6,30","2,65","17,2","7,30","22,6","14,6",212,152,BRC0020K,Nome não encontrado
Proteína,g,"0,39","0,04","0,02","0,10","0,04","0,13","0,09","1,25","0,90",BRC0020K,Nome não encontrado
Lipídios,g,"0,32","0,03","0,01","0,08","0,04","0,11","0,07","1,02","0,74",BRC0020K,Nome não encontrado
Fibra alimentar,g,"0,99","0,09","0,04","0,26","0,11","0,34","0,22","3,17","2,28",BRC0020K,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0020K,Nome não encontrado
Cinzas,g,"0,22","0,02","0,01","0,06","0,02","0,07","0,05","0,70","0,51",BRC0020K,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0020K,Nome não encontrado
Ácidos graxos saturados,g,"0,08","0,01","0,00","0,02","0,01","0,03","0,02","0,26","0,18",BRC0020K,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,02","0,00","0,00","0,00","0,00","0,01","0,00","0,05","0,04",BRC0020K,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,06","0,01","0,00","0,02","0,01","0,02","0,01","0,20","0,15",BRC0020K,Nome não encontrado
Ácidos graxos trans,g,,,,,,,,,,BRC0020K,Nome não encontrado
Cálcio,mg,"6,80","0,65","0,27","1,77","0,75","2,31","1,50","21,8","15,6",BRC0020K,Nome não encontrado
Ferro,mg,"0,19","0,02","0,01","0,05","0,02","0,06","0,04","0,59","0,43",BRC0020K,Nome não encontrado
Sódio,mg,"29,2","2,77","1,17","7,58","3,21","9,91","6,41","93,3","67,1",BRC0020K,Nome não encontrado
Magnésio,mg,"5,83","0,55","0,23","1,52","0,64","1,98","1,28","18,7","13,4",BRC0020K,Nome não encontrado
Fósforo,mg,"5,83","0,55","0,23","1,52","0,64","1,98","1,28","18,7","13,4",BRC0020K,Nome não encontrado
Potássio,mg,"52,5","4,99","2,10","13,6","5,77","17,8","11,5",167,120,BRC0020K,Nome não encontrado
Manganês,mg,"0,13","0,01","0,01","0,03","0,01","0,04","0,03","0,42","0,30",BRC0020K,Nome não encontrado
Zinco,mg,"0,03","0,00","0,00","0,01","0,00","0,01","0,01","0,09","0,07",BRC0020K,Nome não encontrado
Cobre,mg,,,,,,,,,,BRC0020K,Nome não encontrado
Selênio,mcg,,,,,,,,,,BRC0020K,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0020K,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0020K,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0020K,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0020K,Nome não encontrado
Tiamina,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0020K,Nome não encontrado
Riboflavina,mg,"0,03","0,00","0,00","0,01","0,00","0,01","0,01","0,08","0,06",BRC0020K,Nome não encontrado
Niacina,mg,"0,04","0,00","0,00","0,01","0,00","0,01","0,01","0,11","0,08",BRC0020K,Nome não encontrado
Vitamina B6,mg,"0,02","0,00","0,00","0,00","0,00","0,01","0,00","0,06","0,04",BRC0020K,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0020K,Nome não encontrado
Vitamina C,mg,"0,88","0,08","0,04","0,23","0,10","0,30","0,19","2,80","2,01",BRC0020K,Nome não encontrado
Equivalente de folato,mcg,"1,94","0,18","0,08","0,51","0,21","0,66","0,43","6,22","4,47",BRC0020K,Nome não encontrado
Sal de adição,g,,,,,,,,,,BRC0020K,Nome não encontrado
Açúcar de adição,g,,,,,,,,,,BRC0020K,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0020K,Nome não encontrado
Proteína vegetal,g,,,,,,,,,,BRC0020K,Nome não encontrado
Proteína animal,g,,,,,,,,,,BRC0020K,Nome não encontrado
