componente,unidade,Valor por 100g,Colher sobremesa cheia (8 g),Colher sobremesa rasa (5 g),Colher sopa cheia (15 g),Colher sopa rasa (11 g),codigo_alimento,nome_alimento
Energia,kJ,102,8,5,15,11,BRC0021L,Nome não encontrado
Energia,kcal,24,1,1,3,2,BRC0021L,Nome não encontrado
Umidade,g,"93,8","7,50","4,69","14,1","10,3",BRC0021L,Nome não encontrado
Carboidrato total,g,"6,02","0,48","0,30","0,90","0,66",BRC0021L,Nome não encontrado
Carboidrato disponível,g,"6,02","0,48","0,30","0,90","0,66",BRC0021L,Nome não encontrado
Proteína,g,"0,00","0,00","0,00","0,00","0,00",BRC0021L,Nome não encontrado
Lipídios,g,"0,00","0,00","0,00","0,00","0,00",BRC0021L,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00","0,00",BRC0021L,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0021L,Nome não encontrado
Cinzas,g,"0,17","0,01","0,01","0,03","0,02",BRC0021L,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC0021L,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00","0,00","0,00","0,00",BRC0021L,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00","0,00","0,00","0,00",BRC0021L,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00","0,00","0,00","0,00",BRC0021L,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00",BRC0021L,Nome não encontrado
Cálcio,mg,"7,00","0,56","0,35","1,05","0,77",BRC0021L,Nome não encontrado
Ferro,mg,"0,20","0,02","0,01","0,03","0,02",BRC0021L,Nome não encontrado
Sódio,mg,"5,00","0,40","0,25","0,75","0,55",BRC0021L,Nome não encontrado
Magnésio,mg,"5,00","0,40","0,25","0,75","0,55",BRC0021L,Nome não encontrado
Fósforo,mg,"8,00","0,64","0,40","1,20","0,88",BRC0021L,Nome não encontrado
Potássio,mg,"73,0","5,84","3,65","11,0","8,03",BRC0021L,Nome não encontrado
Manganês,mg,"0,25","0,02","0,01","0,04","0,03",BRC0021L,Nome não encontrado
Zinco,mg,"0,94","0,08","0,05","0,14","0,10",BRC0021L,Nome não encontrado
Cobre,mg,traços,traços,traços,traços,traços,BRC0021L,Nome não encontrado
Selênio,mcg,"0,10","0,01","0,01","0,02","0,01",BRC0021L,Nome não encontrado
Vitamina A (RE),mcg,-,-,-,-,-,BRC0021L,Nome não encontrado
Vitamina A (RAE),mcg,-,-,-,-,-,BRC0021L,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0021L,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00","0,00","0,00",BRC0021L,Nome não encontrado
Tiamina,mg,"0,00","0,00","0,00","0,00","0,00",BRC0021L,Nome não encontrado
Riboflavina,mg,"0,00","0,00","0,00","0,00","0,00",BRC0021L,Nome não encontrado
Niacina,mg,"0,00","0,00","0,00","0,00","0,00",BRC0021L,Nome não encontrado
Vitamina B6,mg,"0,00","0,00","0,00","0,00","0,00",BRC0021L,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0021L,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00","0,00",BRC0021L,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0021L,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0021L,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0021L,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0021L,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00","0,00","0,00",BRC0021L,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00",BRC0021L,Nome não encontrado
