componente,unidade,Valor por 100g,Colher servir cheia (38 g),Colher servir rasa (27 g),Colher sopa cheia (27 g),Colher sopa rasa (16 g),codigo_alimento,nome_alimento
Energia,kJ,391,148,105,105,62,BRC0024T,Nome não encontrado
Energia,kcal,93,35,25,25,14,BRC0024T,Nome não encontrado
Umidade,g,"73,9","28,1","19,9","19,9","11,8",BRC0024T,Nome não encontrado
Carboidrato total,g,"18,1","6,88","4,89","4,89","2,90",BRC0024T,Nome não encontrado
Carboidrato disponível,g,"12,4","4,70","3,34","3,34","1,98",BRC0024T,Nome não encontrado
Proteína,g,"6,62","2,51","1,79","1,79","1,06",BRC0024T,Nome não encontrado
Lipídios,g,"0,62","0,23","0,17","0,17","0,10",BRC0024T,Nome não encontrado
Fibra alimentar,g,"5,72","2,17","1,54","1,54","0,91",BRC0024T,Nome não encontrado
Álcool,g,,,,,,BRC0024T,Nome não encontrado
Cinzas,g,"0,79","0,30","0,21","0,21","0,13",BRC0024T,Nome não encontrado
Colesterol,mg,,,,,,BRC0024T,Nome não encontrado
Ácidos graxos saturados,g,"0,16","0,06","0,04","0,04","0,03",BRC0024T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,16","0,06","0,04","0,04","0,03",BRC0024T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,32","0,12","0,09","0,09","0,05",BRC0024T,Nome não encontrado
Ácidos graxos trans,g,,,,,,BRC0024T,Nome não encontrado
Cálcio,mg,"15,4","5,85","4,15","4,15","2,46",BRC0024T,Nome não encontrado
Ferro,mg,"1,92","0,73","0,52","0,52","0,31",BRC0024T,Nome não encontrado
Sódio,mg,"89,4","34,0","24,1","24,1","14,3",BRC0024T,Nome não encontrado
Magnésio,mg,"23,4","8,88","6,31","6,31","3,74",BRC0024T,Nome não encontrado
Fósforo,mg,122,"46,4","33,0","33,0","19,5",BRC0024T,Nome não encontrado
Potássio,mg,116,"44,3","31,5","31,5","18,7",BRC0024T,Nome não encontrado
Manganês,mg,"0,39","0,15","0,11","0,11","0,06",BRC0024T,Nome não encontrado
Zinco,mg,"1,69","0,64","0,46","0,46","0,27",BRC0024T,Nome não encontrado
Cobre,mg,"0,34","0,13","0,09","0,09","0,05",BRC0024T,Nome não encontrado
Selênio,mcg,,,,,,BRC0024T,Nome não encontrado
Vitamina A (RE),mcg,"9,00","3,42","2,43","2,43","1,44",BRC0024T,Nome não encontrado
Vitamina A (RAE),mcg,"4,50","1,71","1,22","1,22","0,72",BRC0024T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0024T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,39","0,15","0,11","0,11","0,06",BRC0024T,Nome não encontrado
Tiamina,mg,"0,09","0,03","0,02","0,02","0,01",BRC0024T,Nome não encontrado
Riboflavina,mg,"0,04","0,01","0,01","0,01","0,01",BRC0024T,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,BRC0024T,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,traços,traços,BRC0024T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0024T,Nome não encontrado
Vitamina C,mg,"16,8","6,37","4,52","4,52","2,68",BRC0024T,Nome não encontrado
Equivalente de folato,mcg,"74,4","28,3","20,1","20,1","11,9",BRC0024T,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0024T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0024T,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0024T,Nome não encontrado
Proteína vegetal,g,"6,62","2,51","1,79","1,79","1,06",BRC0024T,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00",BRC0024T,Nome não encontrado
