componente,unidade,Valor por 100g,Colher sobremesa rasa (10 g),Colher sopa rasa (15 g),codigo_alimento,nome_alimento
Energia,kJ,1781,178,267,BRC0024U,Nome não encontrado
Energia,kcal,427,42,64,BRC0024U,Nome não encontrado
Umidade,g,"4,50","0,45","0,68",BRC0024U,Nome não encontrado
Carboidrato total,g,"53,8","5,38","8,06",BRC0024U,Nome não encontrado
Carboidrato disponível,g,"35,4","3,54","5,30",BRC0024U,Nome não encontrado
Proteína,g,"18,6","1,86","2,78",BRC0024U,Nome não encontrado
Lipídios,g,"19,4","1,94","2,91",BRC0024U,Nome não encontrado
Fibra alimentar,g,"18,4","1,84","2,76",BRC0024U,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0024U,Nome não encontrado
Cinzas,g,"3,80","0,38","0,57",BRC0024U,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0024U,Nome não encontrado
Ácidos graxos saturados,g,"3,67","0,37","0,55",BRC0024U,Nome não encontrado
Ácidos graxos monoinsaturados,g,"6,03","0,60","0,90",BRC0024U,Nome não encontrado
Ácidos graxos poliinsaturados,g,"8,84","0,88","1,33",BRC0024U,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0024U,Nome não encontrado
Cálcio,mg,"55,0","5,50","8,25",BRC0024U,Nome não encontrado
Ferro,mg,"3,31","0,33","0,50",BRC0024U,Nome não encontrado
Sódio,mg,"18,0","1,80","2,70",BRC0024U,Nome não encontrado
Magnésio,mg,262,"26,2","39,3",BRC0024U,Nome não encontrado
Fósforo,mg,"92,0","9,20","13,8",BRC0024U,Nome não encontrado
Potássio,mg,919,"91,9",137,BRC0024U,Nome não encontrado
Manganês,mg,"0,50","0,05","0,07",BRC0024U,Nome não encontrado
Zinco,mg,"10,3","1,03","1,55",BRC0024U,Nome não encontrado
Cobre,mg,"0,69","0,07","0,10",BRC0024U,Nome não encontrado
Selênio,mcg,,,,BRC0024U,Nome não encontrado
Vitamina A (RE),mcg,"3,00","0,30","0,45",BRC0024U,Nome não encontrado
Vitamina A (RAE),mcg,"3,00","0,30","0,45",BRC0024U,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0024U,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,,BRC0024U,Nome não encontrado
Tiamina,mg,"0,03","0,00","0,01",BRC0024U,Nome não encontrado
Riboflavina,mg,"0,05","0,01","0,01",BRC0024U,Nome não encontrado
Niacina,mg,"0,29","0,03","0,04",BRC0024U,Nome não encontrado
Vitamina B6,mg,"0,04","0,00","0,01",BRC0024U,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0024U,Nome não encontrado
Vitamina C,mg,"0,30","0,03","0,05",BRC0024U,Nome não encontrado
Equivalente de folato,mcg,"9,00","0,90","1,35",BRC0024U,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0024U,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0024U,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0024U,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0024U,Nome não encontrado
Proteína animal,g,-,-,-,BRC0024U,Nome não encontrado
