componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (100 g),codigo_alimento,nome_alimento
Energia,kJ,1086,1086,BRC0025J,Nome não encontrado
Energia,kcal,262,262,BRC0025J,Nome não encontrado
Umidade,g,"60,5","60,5",BRC0025J,Nome não encontrado
Carboidrato total,g,"0,44","0,44",BRC0025J,Nome não encontrado
Carboidrato disponível,g,"0,44","0,44",BRC0025J,Nome não encontrado
Proteína,g,"15,6","15,6",BRC0025J,Nome não encontrado
Lipídios,g,"22,0","22,0",BRC0025J,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0025J,Nome não encontrado
Álcool,g,,,BRC0025J,Nome não encontrado
Cinzas,g,"1,49","1,49",BRC0025J,Nome não encontrado
Colesterol,mg,383,383,BRC0025J,Nome não encontrado
Ácidos graxos saturados,g,"6,40","6,40",BRC0025J,Nome não encontrado
Ácidos graxos monoinsaturados,g,"6,99","6,99",BRC0025J,Nome não encontrado
Ácidos graxos poliinsaturados,g,"6,20","6,20",BRC0025J,Nome não encontrado
Ácidos graxos trans,g,"0,15","0,15",BRC0025J,Nome não encontrado
Cálcio,mg,165,165,BRC0025J,Nome não encontrado
Ferro,mg,"1,37","1,37",BRC0025J,Nome não encontrado
Sódio,mg,216,216,BRC0025J,Nome não encontrado
Magnésio,mg,"14,3","14,3",BRC0025J,Nome não encontrado
Fósforo,mg,313,313,BRC0025J,Nome não encontrado
Potássio,mg,126,126,BRC0025J,Nome não encontrado
Manganês,mg,"0,03","0,03",BRC0025J,Nome não encontrado
Zinco,mg,"1,36","1,36",BRC0025J,Nome não encontrado
Cobre,mg,"0,03","0,03",BRC0025J,Nome não encontrado
Selênio,mcg,,,BRC0025J,Nome não encontrado
Vitamina A (RE),mcg,212,212,BRC0025J,Nome não encontrado
Vitamina A (RAE),mcg,201,201,BRC0025J,Nome não encontrado
Vitamina D,mcg,"3,21","3,21",BRC0025J,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"2,44","2,44",BRC0025J,Nome não encontrado
Tiamina,mg,"0,03","0,03",BRC0025J,Nome não encontrado
Riboflavina,mg,"0,24","0,24",BRC0025J,Nome não encontrado
Niacina,mg,traços,traços,BRC0025J,Nome não encontrado
Vitamina B6,mg,"0,00","0,00",BRC0025J,Nome não encontrado
Vitamina B12,mcg,"1,43","1,43",BRC0025J,Nome não encontrado
Vitamina C,mg,traços,traços,BRC0025J,Nome não encontrado
Equivalente de folato,mcg,"73,6","73,6",BRC0025J,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0025J,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0025J,Nome não encontrado
Gordura de adição,g,-,-,BRC0025J,Nome não encontrado
Proteína vegetal,g,-,-,BRC0025J,Nome não encontrado
Proteína animal,g,-,-,BRC0025J,Nome não encontrado
