componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher sopa cheia (30 g),codigo_alimento,nome_alimento
Energia,kJ,298,179,89,BRC0025T,Nome não encontrado
Energia,kcal,72,42,21,BRC0025T,Nome não encontrado
Umidade,g,"76,8","46,1","23,1",BRC0025T,Nome não encontrado
Carboidrato total,g,"14,2","8,54","4,27",BRC0025T,Nome não encontrado
Carboidrato disponível,g,"4,51","2,70","1,35",BRC0025T,Nome não encontrado
Proteína,g,"7,45","4,47","2,24",BRC0025T,Nome não encontrado
Lipídios,g,"0,47","0,28","0,14",BRC0025T,Nome não encontrado
Fibra alimentar,g,"9,72","5,83","2,92",BRC0025T,Nome não encontrado
Álcool,g,,,,BRC0025T,Nome não encontrado
Cinzas,g,"1,01","0,60","0,30",BRC0025T,Nome não encontrado
Colesterol,mg,,,,BRC0025T,Nome não encontrado
Ácidos graxos saturados,g,traços,traços,traços,BRC0025T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,10","0,06","0,03",BRC0025T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,30","0,18","0,09",BRC0025T,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0025T,Nome não encontrado
Cálcio,mg,"24,4","14,7","7,33",BRC0025T,Nome não encontrado
Ferro,mg,"1,44","0,86","0,43",BRC0025T,Nome não encontrado
Sódio,mg,traços,traços,traços,BRC0025T,Nome não encontrado
Magnésio,mg,"41,8","25,1","12,5",BRC0025T,Nome não encontrado
Fósforo,mg,151,"91,2","45,6",BRC0025T,Nome não encontrado
Potássio,mg,310,186,"93,3",BRC0025T,Nome não encontrado
Manganês,mg,"0,40","0,24","0,12",BRC0025T,Nome não encontrado
Zinco,mg,"1,23","0,74","0,37",BRC0025T,Nome não encontrado
Cobre,mg,"0,20","0,12","0,06",BRC0025T,Nome não encontrado
Selênio,mcg,,,,BRC0025T,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0025T,Nome não encontrado
Vitamina A (RAE),mcg,127,"76,3","38,2",BRC0025T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0025T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,92","0,55","0,28",BRC0025T,Nome não encontrado
Tiamina,mg,"0,27","0,16","0,08",BRC0025T,Nome não encontrado
Riboflavina,mg,"0,07","0,04","0,02",BRC0025T,Nome não encontrado
Niacina,mg,"1,16","0,70","0,35",BRC0025T,Nome não encontrado
Vitamina B6,mg,"0,06","0,04","0,02",BRC0025T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0025T,Nome não encontrado
Vitamina C,mg,"12,4","7,47","3,73",BRC0025T,Nome não encontrado
Equivalente de folato,mcg,"87,5","52,5","26,3",BRC0025T,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0025T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0025T,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0025T,Nome não encontrado
Proteína vegetal,g,"7,45","4,47","2,24",BRC0025T,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0025T,Nome não encontrado
