componente,unidade,Valor por 100g,Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,283,467,BRC0026G,Nome não encontrado
Energia,kcal,68,112,BRC0026G,Nome não encontrado
Umidade,g,"88,0",145,BRC0026G,Nome não encontrado
Carboidrato total,g,"6,13","10,1",BRC0026G,Nome não encontrado
Carboidrato disponível,g,"6,13","10,1",BRC0026G,Nome não encontrado
Proteína,g,"1,39","2,29",BRC0026G,Nome não encontrado
Lipídios,g,"4,21","6,94",BRC0026G,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0026G,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0026G,Nome não encontrado
Cinzas,g,"0,28","0,46",BRC0026G,Nome não encontrado
Colesterol,mg,"13,4","22,2",BRC0026G,Nome não encontrado
Ácidos graxos saturados,g,"1,93","3,18",BRC0026G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,59","2,63",BRC0026G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,48","0,79",BRC0026G,Nome não encontrado
Ácidos graxos trans,g,,,BRC0026G,Nome não encontrado
Cálcio,mg,"22,7","37,4",BRC0026G,Nome não encontrado
Ferro,mg,"0,05","0,08",BRC0026G,Nome não encontrado
Sódio,mg,"25,0","41,2",BRC0026G,Nome não encontrado
Magnésio,mg,"2,41","3,98",BRC0026G,Nome não encontrado
Fósforo,mg,"14,6","24,0",BRC0026G,Nome não encontrado
Potássio,mg,"43,0","70,9",BRC0026G,Nome não encontrado
Manganês,mg,"0,00","0,00",BRC0026G,Nome não encontrado
Zinco,mg,"0,22","0,35",BRC0026G,Nome não encontrado
Cobre,mg,"0,05","0,08",BRC0026G,Nome não encontrado
Selênio,mcg,,,BRC0026G,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0026G,Nome não encontrado
Vitamina A (RAE),mcg,"58,6","96,6",BRC0026G,Nome não encontrado
Vitamina D,mcg,"0,10","0,16",BRC0026G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,08","0,13",BRC0026G,Nome não encontrado
Tiamina,mg,"0,01","0,02",BRC0026G,Nome não encontrado
Riboflavina,mg,"0,04","0,06",BRC0026G,Nome não encontrado
Niacina,mg,"0,17","0,28",BRC0026G,Nome não encontrado
Vitamina B6,mg,"0,01","0,02",BRC0026G,Nome não encontrado
Vitamina B12,mcg,"0,05","0,08",BRC0026G,Nome não encontrado
Vitamina C,mg,"4,80","7,92",BRC0026G,Nome não encontrado
Equivalente de folato,mcg,"4,80","7,92",BRC0026G,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0026G,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0026G,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0026G,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0026G,Nome não encontrado
Proteína animal,g,"1,39","2,29",BRC0026G,Nome não encontrado
