componente,unidade,Valor por 100g,Colher sobremesa cheia (35 g),Colher sobremesa rasa (20 g),Colher sopa cheia (50 g),Colher sopa rasa (30 g),Pedaço/ Unidade/ Fatia (M) (40 g),codigo_alimento,nome_alimento
Energia,kJ,1178,412,235,589,353,471,BRC0027K,Nome não encontrado
Energia,kcal,278,97,55,138,83,111,BRC0027K,Nome não encontrado
Umidade,g,"28,5","9,97","5,70","14,2","8,55","11,4",BRC0027K,Nome não encontrado
Carboidrato total,g,"70,8","24,8","14,2","35,4","21,2","28,3",BRC0027K,Nome não encontrado
Carboidrato disponível,g,"66,7","23,3","13,3","33,3","20,0","26,7",BRC0027K,Nome não encontrado
Proteína,g,"0,40","0,14","0,08","0,20","0,12","0,16",BRC0027K,Nome não encontrado
Lipídios,g,"0,14","0,05","0,03","0,07","0,04","0,05",BRC0027K,Nome não encontrado
Fibra alimentar,g,"4,07","1,42","0,81","2,04","1,22","1,63",BRC0027K,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0027K,Nome não encontrado
Cinzas,g,"0,20","0,07","0,04","0,10","0,06","0,08",BRC0027K,Nome não encontrado
Colesterol,mg,,,,traços,,,BRC0027K,Nome não encontrado
Ácidos graxos saturados,g,traços,traços,traços,traços,traços,traços,BRC0027K,Nome não encontrado
Ácidos graxos monoinsaturados,g,traços,traços,traços,traços,traços,traços,BRC0027K,Nome não encontrado
Ácidos graxos poliinsaturados,g,traços,traços,traços,traços,traços,traços,BRC0027K,Nome não encontrado
Ácidos graxos trans,g,,,,traços,,,BRC0027K,Nome não encontrado
Cálcio,mg,"11,3","3,96","2,27","5,66","3,40","4,53",BRC0027K,Nome não encontrado
Ferro,mg,"0,73","0,26","0,15","0,36","0,22","0,29",BRC0027K,Nome não encontrado
Sódio,mg,traços,traços,traços,traços,traços,traços,BRC0027K,Nome não encontrado
Magnésio,mg,"5,80","2,03","1,16","2,90","1,74","2,32",BRC0027K,Nome não encontrado
Fósforo,mg,"19,6","6,87","3,92","9,81","5,89","7,85",BRC0027K,Nome não encontrado
Potássio,mg,"83,1","29,1","16,6","41,6","24,9","33,3",BRC0027K,Nome não encontrado
Manganês,mg,"0,06","0,02","0,01","0,03","0,02","0,02",BRC0027K,Nome não encontrado
Zinco,mg,traços,traços,traços,traços,traços,traços,BRC0027K,Nome não encontrado
Cobre,mg,traços,traços,traços,traços,traços,traços,BRC0027K,Nome não encontrado
Selênio,mcg,,,,traços,,,BRC0027K,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0027K,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0027K,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0027K,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,24","0,08","0,05","0,12","0,07","0,09",BRC0027K,Nome não encontrado
Tiamina,mg,traços,traços,traços,traços,traços,traços,BRC0027K,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,traços,BRC0027K,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,traços,BRC0027K,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,traços,traços,traços,BRC0027K,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0027K,Nome não encontrado
Vitamina C,mg,traços,traços,traços,traços,traços,traços,BRC0027K,Nome não encontrado
Equivalente de folato,mcg,"34,2","12,0","6,85","17,1","10,3","13,7",BRC0027K,Nome não encontrado
Sal de adição,g,,,,traços,,,BRC0027K,Nome não encontrado
Açúcar de adição,g,,,,traços,,,BRC0027K,Nome não encontrado
Gordura de adição,g,,,,traços,,,BRC0027K,Nome não encontrado
Proteína vegetal,g,"0,40","0,14","0,08","0,20","0,12","0,16",BRC0027K,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0027K,Nome não encontrado
