componente,unidade,Valor por 100g,Colher sopa rasa (15 mL),codigo_alimento,nome_alimento
Energia,kJ,1216,182,BRC0027L,Nome não encontrado
Energia,kcal,292,43,BRC0027L,Nome não encontrado
Umidade,g,"52,6","7,89",BRC0027L,Nome não encontrado
Carboidrato total,g,"12,6","1,90",BRC0027L,Nome não encontrado
Carboidrato disponível,g,"12,6","1,90",BRC0027L,Nome não encontrado
Proteína,g,"0,06","0,01",BRC0027L,Nome não encontrado
Lipídios,g,"0,06","0,01",BRC0027L,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0027L,Nome não encontrado
Álcool,g,"34,4","5,16",BRC0027L,Nome não encontrado
Cinzas,g,"0,26","0,04",BRC0027L,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0027L,Nome não encontrado
Ácidos graxos saturados,g,"0,01","0,00",BRC0027L,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,10","0,02",BRC0027L,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00",BRC0027L,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0027L,Nome não encontrado
Cálcio,mg,"11,0","1,65",BRC0027L,Nome não encontrado
Ferro,mg,"0,12","0,02",BRC0027L,Nome não encontrado
Sódio,mg,"9,00","1,35",BRC0027L,Nome não encontrado
Magnésio,mg,"12,0","1,80",BRC0027L,Nome não encontrado
Fósforo,mg,"6,00","0,90",BRC0027L,Nome não encontrado
Potássio,mg,148,"22,2",BRC0027L,Nome não encontrado
Manganês,mg,"0,23","0,03",BRC0027L,Nome não encontrado
Zinco,mg,"0,11","0,02",BRC0027L,Nome não encontrado
Cobre,mg,"0,07","0,01",BRC0027L,Nome não encontrado
Selênio,mcg,"0,00","0,00",BRC0027L,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0027L,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0027L,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0027L,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00",BRC0027L,Nome não encontrado
Tiamina,mg,"0,01","0,00",BRC0027L,Nome não encontrado
Riboflavina,mg,"0,10","0,01",BRC0027L,Nome não encontrado
Niacina,mg,"0,43","0,06",BRC0027L,Nome não encontrado
Vitamina B6,mg,"0,03","0,00",BRC0027L,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0027L,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0027L,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00",BRC0027L,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0027L,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0027L,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0027L,Nome não encontrado
Proteína vegetal,g,"0,06","0,01",BRC0027L,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0027L,Nome não encontrado
