componente,unidade,Valor por 100g,Copo americano duplo (240 ml),Copo americano pequeno (165 ml),codigo_alimento,nome_alimento
Energia,kJ,640,1536,1056,BRC0028U,Nome não encontrado
Energia,kcal,154,369,254,BRC0028U,Nome não encontrado
Umidade,g,"75,8",181,125,BRC0028U,Nome não encontrado
Carboidrato total,g,"6,00","14,4","9,90",BRC0028U,Nome não encontrado
Carboidrato disponível,g,"5,00","12,0","8,25",BRC0028U,Nome não encontrado
Proteína,g,"5,18","12,4","8,55",BRC0028U,Nome não encontrado
Lipídios,g,"12,4","29,8","20,5",BRC0028U,Nome não encontrado
Fibra alimentar,g,"1,02","2,45","1,68",BRC0028U,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0028U,Nome não encontrado
Cinzas,g,"0,58","1,39","0,96",BRC0028U,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0028U,Nome não encontrado
Ácidos graxos saturados,g,"2,06","4,94","3,40",BRC0028U,Nome não encontrado
Ácidos graxos monoinsaturados,g,"7,10","17,0","11,7",BRC0028U,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,17","5,21","3,58",BRC0028U,Nome não encontrado
Ácidos graxos trans,g,"0,03","0,07","0,05",BRC0028U,Nome não encontrado
Cálcio,mg,"7,10","17,0","11,7",BRC0028U,Nome não encontrado
Ferro,mg,"1,44","3,46","2,38",BRC0028U,Nome não encontrado
Sódio,mg,"3,00","7,20","4,95",BRC0028U,Nome não encontrado
Magnésio,mg,"64,5",154,106,BRC0028U,Nome não encontrado
Fósforo,mg,137,328,226,BRC0028U,Nome não encontrado
Potássio,mg,175,420,288,BRC0028U,Nome não encontrado
Manganês,mg,"0,36","0,86","0,59",BRC0028U,Nome não encontrado
Zinco,mg,"1,27","3,05","2,10",BRC0028U,Nome não encontrado
Cobre,mg,"0,32","0,77","0,53",BRC0028U,Nome não encontrado
Selênio,mcg,"2,88","6,91","4,75",BRC0028U,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00",BRC0028U,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00",BRC0028U,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0028U,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,25","0,60","0,41",BRC0028U,Nome não encontrado
Tiamina,mg,"0,07","0,17","0,12",BRC0028U,Nome não encontrado
Riboflavina,mg,"0,01","0,02","0,02",BRC0028U,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0028U,Nome não encontrado
Vitamina B6,mg,"0,10","0,24","0,17",BRC0028U,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0028U,Nome não encontrado
Vitamina C,mg,traços,traços,traços,BRC0028U,Nome não encontrado
Equivalente de folato,mcg,"17,0","40,8","28,1",BRC0028U,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0028U,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0028U,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0028U,Nome não encontrado
Proteína vegetal,g,"5,18","12,4","8,55",BRC0028U,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0028U,Nome não encontrado
