componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),Pedaço/ Unidade/ Fatia (M) (350 mL),codigo_alimento,nome_alimento
Energia,kJ,135,324,223,473,BRC0029H,Nome não encontrado
Energia,kcal,32,76,52,111,BRC0029H,Nome não encontrado
Umidade,g,"92,0",220,151,322,BRC0029H,Nome não encontrado
Carboidrato total,g,"7,95","19,1","13,1","27,8",BRC0029H,Nome não encontrado
Carboidrato disponível,g,"7,95","19,1","13,1","27,8",BRC0029H,Nome não encontrado
Proteína,g,"0,00","0,00","0,00","0,00",BRC0029H,Nome não encontrado
Lipídios,g,"0,00","0,00","0,00","0,00",BRC0029H,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00",BRC0029H,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0029H,Nome não encontrado
Cinzas,g,"0,04","0,10","0,07","0,14",BRC0029H,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0029H,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00","0,00","0,00",BRC0029H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00","0,00","0,00",BRC0029H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00","0,00","0,00",BRC0029H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0029H,Nome não encontrado
Cálcio,mg,"1,08","2,58","1,77","3,76",BRC0029H,Nome não encontrado
Ferro,mg,traços,traços,traços,traços,BRC0029H,Nome não encontrado
Sódio,mg,"6,95","16,7","11,5","24,3",BRC0029H,Nome não encontrado
Magnésio,mg,traços,traços,traços,traços,BRC0029H,Nome não encontrado
Fósforo,mg,"0,15","0,36","0,25","0,53",BRC0029H,Nome não encontrado
Potássio,mg,"1,51","3,61","2,48","5,27",BRC0029H,Nome não encontrado
Manganês,mg,traços,traços,traços,traços,BRC0029H,Nome não encontrado
Zinco,mg,traços,traços,traços,traços,BRC0029H,Nome não encontrado
Cobre,mg,traços,traços,traços,traços,BRC0029H,Nome não encontrado
Selênio,mcg,"0,00","0,00","0,00","0,00",BRC0029H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00",BRC0029H,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00",BRC0029H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0029H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00","0,00",BRC0029H,Nome não encontrado
Tiamina,mg,"0,00","0,00","0,00","0,00",BRC0029H,Nome não encontrado
Riboflavina,mg,"0,00","0,00","0,00","0,00",BRC0029H,Nome não encontrado
Niacina,mg,"0,00","0,00","0,00","0,00",BRC0029H,Nome não encontrado
Vitamina B6,mg,"0,00","0,00","0,00","0,00",BRC0029H,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0029H,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00",BRC0029H,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00","0,00","0,00",BRC0029H,Nome não encontrado
Sal de adição,g,,,,,BRC0029H,Nome não encontrado
Açúcar de adição,g,,,,,BRC0029H,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00",BRC0029H,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00","0,00",BRC0029H,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00",BRC0029H,Nome não encontrado
