componente,unidade,Valor por 100g,Colher café rasa (2 g),Colher chá rasa (3 g),Colher sobremesa rasa (10 g),Colher sopa rasa (16 g),codigo_alimento,nome_alimento
Energia,kJ,1302,26,39,130,208,BRC0029K,Nome não encontrado
Energia,kcal,306,6,9,30,49,BRC0029K,Nome não encontrado
Umidade,g,"22,1","0,44","0,66","2,21","3,53",BRC0029K,Nome não encontrado
Carboidrato total,g,"76,6","1,53","2,30","7,66","12,3",BRC0029K,Nome não encontrado
Carboidrato disponível,g,"76,6","1,53","2,30","7,66","12,3",BRC0029K,Nome não encontrado
Proteína,g,"0,00","0,00","0,00","0,00","0,00",BRC0029K,Nome não encontrado
Lipídios,g,"0,00","0,00","0,00","0,00","0,00",BRC0029K,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00","0,00",BRC0029K,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0029K,Nome não encontrado
Cinzas,g,"1,30","0,03","0,04","0,13","0,21",BRC0029K,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC0029K,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00","0,00","0,00","0,00",BRC0029K,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00","0,00","0,00","0,00",BRC0029K,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00","0,00","0,00","0,00",BRC0029K,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00",BRC0029K,Nome não encontrado
Cálcio,mg,111,"2,22","3,33","11,1","17,8",BRC0029K,Nome não encontrado
Ferro,mg,"3,70","0,07","0,11","0,37","0,59",BRC0029K,Nome não encontrado
Sódio,mg,"8,16","0,16","0,24","0,82","1,31",BRC0029K,Nome não encontrado
Magnésio,mg,102,"2,05","3,08","10,3","16,4",BRC0029K,Nome não encontrado
Fósforo,mg,"55,8","1,12","1,67","5,58","8,93",BRC0029K,Nome não encontrado
Potássio,mg,330,"6,61","9,92","33,1","52,9",BRC0029K,Nome não encontrado
Manganês,mg,"2,06","0,04","0,06","0,21","0,33",BRC0029K,Nome não encontrado
Zinco,mg,"0,41","0,01","0,01","0,04","0,07",BRC0029K,Nome não encontrado
Cobre,mg,"0,53","0,01","0,02","0,05","0,08",BRC0029K,Nome não encontrado
Selênio,mcg,"0,07","0,00","0,00","0,01","0,01",BRC0029K,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00","0,00",BRC0029K,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00","0,00",BRC0029K,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0029K,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00","0,00","0,00",BRC0029K,Nome não encontrado
Tiamina,mg,traços,traços,traços,traços,traços,BRC0029K,Nome não encontrado
Riboflavina,mg,"0,05","0,00","0,00","0,01","0,01",BRC0029K,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,BRC0029K,Nome não encontrado
Vitamina B6,mg,"0,20","0,00","0,01","0,02","0,03",BRC0029K,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0029K,Nome não encontrado
Vitamina C,mg,traços,traços,traços,traços,traços,BRC0029K,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0029K,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0029K,Nome não encontrado
Açúcar de adição,g,"100,0","2,00","3,00","10,00","16,0",BRC0029K,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0029K,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00","0,00","0,00",BRC0029K,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00",BRC0029K,Nome não encontrado
