componente,unidade,Valor por 100g,Colher sopa cheia (40 g),codigo_alimento,nome_alimento
Energia,kJ,1300,519,BRC0029N,Nome não encontrado
Energia,kcal,306,122,BRC0029N,Nome não encontrado
Umidade,g,"22,7","9,08",BRC0029N,Nome não encontrado
Carboidrato total,g,"74,1","29,6",BRC0029N,Nome não encontrado
Carboidrato disponível,g,"72,4","29,0",BRC0029N,Nome não encontrado
Proteína,g,"1,62","0,65",BRC0029N,Nome não encontrado
Lipídios,g,"0,76","0,30",BRC0029N,Nome não encontrado
Fibra alimentar,g,"1,74","0,69",BRC0029N,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0029N,Nome não encontrado
Cinzas,g,"0,82","0,33",BRC0029N,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0029N,Nome não encontrado
Ácidos graxos saturados,g,"0,14","0,05",BRC0029N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,24","0,10",BRC0029N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,38","0,15",BRC0029N,Nome não encontrado
Ácidos graxos trans,g,,,BRC0029N,Nome não encontrado
Cálcio,mg,"42,3","16,9",BRC0029N,Nome não encontrado
Ferro,mg,"0,04","0,02",BRC0029N,Nome não encontrado
Sódio,mg,1522,609,BRC0029N,Nome não encontrado
Magnésio,mg,"14,7","5,87",BRC0029N,Nome não encontrado
Fósforo,mg,"10,4","4,14",BRC0029N,Nome não encontrado
Potássio,mg,"15,5","6,21",BRC0029N,Nome não encontrado
Manganês,mg,,,BRC0029N,Nome não encontrado
Zinco,mg,"0,16","0,07",BRC0029N,Nome não encontrado
Cobre,mg,,,BRC0029N,Nome não encontrado
Selênio,mcg,,,BRC0029N,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0029N,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0029N,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0029N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,38","0,15",BRC0029N,Nome não encontrado
Tiamina,mg,"0,00","0,00",BRC0029N,Nome não encontrado
Riboflavina,mg,"0,00","0,00",BRC0029N,Nome não encontrado
Niacina,mg,"0,00","0,00",BRC0029N,Nome não encontrado
Vitamina B6,mg,"0,00","0,00",BRC0029N,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0029N,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0029N,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00",BRC0029N,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0029N,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0029N,Nome não encontrado
Gordura de adição,g,,,BRC0029N,Nome não encontrado
Proteína vegetal,g,"1,62","0,65",BRC0029N,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0029N,Nome não encontrado
