componente,unidade,Valor por 100g,Colher sopa rasa (15 mL),codigo_alimento,nome_alimento
Energia,kJ,227,34,BRC0030N,Nome não encontrado
Energia,kcal,54,8,BRC0030N,Nome não encontrado
Umidade,g,"71,1","10,7",BRC0030N,Nome não encontrado
Carboidrato total,g,"11,0","1,64",BRC0030N,Nome não encontrado
Carboidrato disponível,g,"10,00","1,50",BRC0030N,Nome não encontrado
Proteína,g,"2,70","0,41",BRC0030N,Nome não encontrado
Lipídios,g,"0,10","0,02",BRC0030N,Nome não encontrado
Fibra alimentar,g,"0,96","0,14",BRC0030N,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0030N,Nome não encontrado
Cinzas,g,"15,2","2,27",BRC0030N,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0030N,Nome não encontrado
Ácidos graxos saturados,g,"0,01","0,00",BRC0030N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,02","0,00",BRC0030N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,05","0,01",BRC0030N,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0030N,Nome não encontrado
Cálcio,mg,"14,3","2,14",BRC0030N,Nome não encontrado
Ferro,mg,"0,49","0,07",BRC0030N,Nome não encontrado
Sódio,mg,3800,570,BRC0030N,Nome não encontrado
Magnésio,mg,"23,3","3,49",BRC0030N,Nome não encontrado
Fósforo,mg,"46,3","6,95",BRC0030N,Nome não encontrado
Potássio,mg,162,"24,4",BRC0030N,Nome não encontrado
Manganês,mg,"0,06","0,01",BRC0030N,Nome não encontrado
Zinco,mg,"0,18","0,03",BRC0030N,Nome não encontrado
Cobre,mg,traços,traços,BRC0030N,Nome não encontrado
Selênio,mcg,,,BRC0030N,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0030N,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0030N,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0030N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00",BRC0030N,Nome não encontrado
Tiamina,mg,"0,81","0,12",BRC0030N,Nome não encontrado
Riboflavina,mg,"0,06","0,01",BRC0030N,Nome não encontrado
Niacina,mg,"2,07","0,31",BRC0030N,Nome não encontrado
Vitamina B6,mg,"0,15","0,02",BRC0030N,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0030N,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0030N,Nome não encontrado
Equivalente de folato,mcg,"4,05","0,61",BRC0030N,Nome não encontrado
Sal de adição,g,,,BRC0030N,Nome não encontrado
Açúcar de adição,g,,,BRC0030N,Nome não encontrado
Gordura de adição,g,,,BRC0030N,Nome não encontrado
Proteína vegetal,g,"2,70","0,41",BRC0030N,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0030N,Nome não encontrado
