componente,unidade,Valor por 100g,Colher chá cheia (6 g),Colher chá rasa (3 g),Colher servir cheia (50 g),Colher servir rasa (35 g),Colher sobremesa cheia (17 g),Colher sobremesa rasa (12 g),Colher sopa cheia (27 g),Colher sopa rasa (17 g),codigo_alimento,nome_alimento
Energia,kJ,1273,76,38,636,445,216,152,343,216,BRC0031D,Nome não encontrado
Energia,kcal,308,18,9,154,107,52,37,83,52,BRC0031D,Nome não encontrado
Umidade,g,"58,4","3,51","1,75","29,2","20,4","9,93","7,01","15,8","9,93",BRC0031D,Nome não encontrado
Carboidrato total,g,"7,90","0,47","0,24","3,95","2,77","1,34","0,95","2,13","1,34",BRC0031D,Nome não encontrado
Carboidrato disponível,g,"7,90","0,47","0,24","3,95","2,77","1,34","0,95","2,13","1,34",BRC0031D,Nome não encontrado
Proteína,g,"0,58","0,03","0,02","0,29","0,20","0,10","0,07","0,16","0,10",BRC0031D,Nome não encontrado
Lipídios,g,"30,5","1,83","0,91","15,2","10,7","5,18","3,66","8,23","5,18",BRC0031D,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0031D,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0031D,Nome não encontrado
Cinzas,g,"2,60","0,16","0,08","1,30","0,91","0,44","0,31","0,70","0,44",BRC0031D,Nome não encontrado
Colesterol,mg,"42,5","2,55","1,27","21,2","14,9","7,22","5,10","11,5","7,22",BRC0031D,Nome não encontrado
Ácidos graxos saturados,g,"4,10","0,25","0,12","2,05","1,44","0,70","0,49","1,11","0,70",BRC0031D,Nome não encontrado
Ácidos graxos monoinsaturados,g,"6,40","0,38","0,19","3,20","2,24","1,09","0,77","1,73","1,09",BRC0031D,Nome não encontrado
Ácidos graxos poliinsaturados,g,"15,4","0,92","0,46","7,70","5,39","2,62","1,85","4,16","2,62",BRC0031D,Nome não encontrado
Ácidos graxos trans,g,"0,17","0,01","0,01","0,09","0,06","0,03","0,02","0,05","0,03",BRC0031D,Nome não encontrado
Cálcio,mg,"3,48","0,21","0,10","1,74","1,22","0,59","0,42","0,94","0,59",BRC0031D,Nome não encontrado
Ferro,mg,"0,10","0,01","0,00","0,05","0,03","0,02","0,01","0,03","0,02",BRC0031D,Nome não encontrado
Sódio,mg,786,"47,2","23,6",393,275,133,"94,4",212,133,BRC0031D,Nome não encontrado
Magnésio,mg,"0,86","0,05","0,03","0,43","0,30","0,15","0,10","0,23","0,15",BRC0031D,Nome não encontrado
Fósforo,mg,"14,5","0,87","0,43","7,23","5,06","2,46","1,73","3,90","2,46",BRC0031D,Nome não encontrado
Potássio,mg,"16,1","0,97","0,48","8,04","5,63","2,73","1,93","4,34","2,73",BRC0031D,Nome não encontrado
Manganês,mg,traços,traços,traços,traços,traços,traços,traços,traços,traços,BRC0031D,Nome não encontrado
Zinco,mg,"0,06","0,00","0,00","0,03","0,02","0,01","0,01","0,02","0,01",BRC0031D,Nome não encontrado
Cobre,mg,traços,traços,traços,traços,traços,traços,traços,traços,traços,BRC0031D,Nome não encontrado
Selênio,mcg,"2,30","0,14","0,07","1,15","0,81","0,39","0,28","0,62","0,39",BRC0031D,Nome não encontrado
Vitamina A (RE),mcg,"8,54","0,51","0,26","4,27","2,99","1,45","1,02","2,31","1,45",BRC0031D,Nome não encontrado
Vitamina A (RAE),mcg,"8,27","0,50","0,25","4,14","2,89","1,41","0,99","2,23","1,41",BRC0031D,Nome não encontrado
Vitamina D,mcg,"0,08","0,00","0,00","0,04","0,03","0,01","0,01","0,02","0,01",BRC0031D,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,34","0,08","0,04","0,67","0,47","0,23","0,16","0,36","0,23",BRC0031D,Nome não encontrado
Tiamina,mg,traços,traços,traços,traços,traços,traços,traços,traços,traços,BRC0031D,Nome não encontrado
Riboflavina,mg,"0,05","0,00","0,00","0,03","0,02","0,01","0,01","0,01","0,01",BRC0031D,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,traços,traços,traços,traços,BRC0031D,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,traços,traços,traços,traços,traços,traços,BRC0031D,Nome não encontrado
Vitamina B12,mcg,"0,05","0,00","0,00","0,03","0,02","0,01","0,01","0,01","0,01",BRC0031D,Nome não encontrado
Vitamina C,mg,traços,traços,traços,traços,traços,traços,traços,traços,traços,BRC0031D,Nome não encontrado
Equivalente de folato,mcg,"2,08","0,12","0,06","1,04","0,73","0,35","0,25","0,56","0,35",BRC0031D,Nome não encontrado
Sal de adição,g,,,,traços,,,,,,BRC0031D,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0031D,Nome não encontrado
Gordura de adição,g,,,,traços,,,,,,BRC0031D,Nome não encontrado
Proteína vegetal,g,,,,traços,,,,,,BRC0031D,Nome não encontrado
Proteína animal,g,,,,traços,,,,,,BRC0031D,Nome não encontrado
