componente,unidade,Valor por 100g,Colher sopa cheia (20 mL),codigo_alimento,nome_alimento
Energia,kJ,1418,283,BRC0031L,Nome não encontrado
Energia,kcal,344,68,BRC0031L,Nome não encontrado
Umidade,g,"53,5","10,7",BRC0031L,Nome não encontrado
Carboidrato total,g,"6,27","1,25",BRC0031L,Nome não encontrado
Carboidrato disponível,g,"5,18","1,04",BRC0031L,Nome não encontrado
Proteína,g,"1,17","0,23",BRC0031L,Nome não encontrado
Lipídios,g,"35,2","7,04",BRC0031L,Nome não encontrado
Fibra alimentar,g,"1,08","0,22",BRC0031L,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0031L,Nome não encontrado
Cinzas,g,"3,85","0,77",BRC0031L,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0031L,Nome não encontrado
Ácidos graxos saturados,g,"5,24","1,05",BRC0031L,Nome não encontrado
Ácidos graxos monoinsaturados,g,"26,4","5,28",BRC0031L,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,38","0,68",BRC0031L,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0031L,Nome não encontrado
Cálcio,mg,"69,5","13,9",BRC0031L,Nome não encontrado
Ferro,mg,"0,93","0,19",BRC0031L,Nome não encontrado
Sódio,mg,"1,00","0,20",BRC0031L,Nome não encontrado
Magnésio,mg,"8,69","1,74",BRC0031L,Nome não encontrado
Fósforo,mg,"23,0","4,60",BRC0031L,Nome não encontrado
Potássio,mg,242,"48,4",BRC0031L,Nome não encontrado
Manganês,mg,"0,53","0,11",BRC0031L,Nome não encontrado
Zinco,mg,"0,44","0,09",BRC0031L,Nome não encontrado
Cobre,mg,"0,08","0,02",BRC0031L,Nome não encontrado
Selênio,mcg,"0,32","0,06",BRC0031L,Nome não encontrado
Vitamina A (RE),mcg,252,"50,4",BRC0031L,Nome não encontrado
Vitamina A (RAE),mcg,126,"25,2",BRC0031L,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0031L,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"6,61","1,32",BRC0031L,Nome não encontrado
Tiamina,mg,"0,16","0,03",BRC0031L,Nome não encontrado
Riboflavina,mg,"0,06","0,01",BRC0031L,Nome não encontrado
Niacina,mg,"0,19","0,04",BRC0031L,Nome não encontrado
Vitamina B6,mg,"0,15","0,03",BRC0031L,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0031L,Nome não encontrado
Vitamina C,mg,"29,6","5,92",BRC0031L,Nome não encontrado
Equivalente de folato,mcg,"40,6","8,12",BRC0031L,Nome não encontrado
Sal de adição,g,"3,20","0,64",BRC0031L,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0031L,Nome não encontrado
Gordura de adição,g,"35,0","7,00",BRC0031L,Nome não encontrado
Proteína vegetal,g,"1,17","0,23",BRC0031L,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0031L,Nome não encontrado
