componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (80 mL),codigo_alimento,nome_alimento
Energia,kJ,1709,1366,BRC0032G,Nome não encontrado
Energia,kcal,404,323,BRC0032G,Nome não encontrado
Umidade,g,"3,76","3,01",BRC0032G,Nome não encontrado
Carboidrato total,g,"70,0","56,0",BRC0032G,Nome não encontrado
Carboidrato disponível,g,"69,1","55,3",BRC0032G,Nome não encontrado
Proteína,g,"15,3","12,2",BRC0032G,Nome não encontrado
Lipídios,g,"7,23","5,78",BRC0032G,Nome não encontrado
Fibra alimentar,g,"0,84","0,67",BRC0032G,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0032G,Nome não encontrado
Cinzas,g,"3,79","3,03",BRC0032G,Nome não encontrado
Colesterol,mg,"22,9","18,3",BRC0032G,Nome não encontrado
Ácidos graxos saturados,g,"4,38","3,50",BRC0032G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,91","1,53",BRC0032G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,13","0,10",BRC0032G,Nome não encontrado
Ácidos graxos trans,g,"0,25","0,20",BRC0032G,Nome não encontrado
Cálcio,mg,433,346,BRC0032G,Nome não encontrado
Ferro,mg,"0,23","0,19",BRC0032G,Nome não encontrado
Sódio,mg,152,121,BRC0032G,Nome não encontrado
Magnésio,mg,"52,7","42,1",BRC0032G,Nome não encontrado
Fósforo,mg,345,276,BRC0032G,Nome não encontrado
Potássio,mg,1024,819,BRC0032G,Nome não encontrado
Manganês,mg,,,BRC0032G,Nome não encontrado
Zinco,mg,"1,52","1,22",BRC0032G,Nome não encontrado
Cobre,mg,,,BRC0032G,Nome não encontrado
Selênio,mcg,,,BRC0032G,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0032G,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0032G,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0032G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,05","0,04",BRC0032G,Nome não encontrado
Tiamina,mg,"0,25","0,20",BRC0032G,Nome não encontrado
Riboflavina,mg,"1,13","0,90",BRC0032G,Nome não encontrado
Niacina,mg,"7,73","6,18",BRC0032G,Nome não encontrado
Vitamina B6,mg,"0,00","0,00",BRC0032G,Nome não encontrado
Vitamina B12,mcg,"2,99","2,39",BRC0032G,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0032G,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00",BRC0032G,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0032G,Nome não encontrado
Açúcar de adição,g,,,BRC0032G,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0032G,Nome não encontrado
Proteína vegetal,g,,,BRC0032G,Nome não encontrado
Proteína animal,g,,,BRC0032G,Nome não encontrado
