componente,unidade,Valor por 100g,Xícara chá (100 g),codigo_alimento,nome_alimento
Energia,kJ,1351,1350,BRC0032T,Nome não encontrado
Energia,kcal,320,320,BRC0032T,Nome não encontrado
Umidade,g,"10,0","10,0",BRC0032T,Nome não encontrado
Carboidrato total,g,"68,3","68,3",BRC0032T,Nome não encontrado
Carboidrato disponível,g,"50,5","50,5",BRC0032T,Nome não encontrado
Proteína,g,"17,9","17,9",BRC0032T,Nome não encontrado
Lipídios,g,"1,23","1,23",BRC0032T,Nome não encontrado
Fibra alimentar,g,"17,8","17,8",BRC0032T,Nome não encontrado
Álcool,g,,,BRC0032T,Nome não encontrado
Cinzas,g,"2,53","2,53",BRC0032T,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0032T,Nome não encontrado
Ácidos graxos saturados,g,"0,13","0,13",BRC0032T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,28","0,28",BRC0032T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,55","0,55",BRC0032T,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0032T,Nome não encontrado
Cálcio,mg,"45,1","45,1",BRC0032T,Nome não encontrado
Ferro,mg,"4,87","4,87",BRC0032T,Nome não encontrado
Sódio,mg,"64,2","64,2",BRC0032T,Nome não encontrado
Magnésio,mg,166,166,BRC0032T,Nome não encontrado
Fósforo,mg,318,318,BRC0032T,Nome não encontrado
Potássio,mg,848,848,BRC0032T,Nome não encontrado
Manganês,mg,,,BRC0032T,Nome não encontrado
Zinco,mg,"2,82","2,82",BRC0032T,Nome não encontrado
Cobre,mg,,,BRC0032T,Nome não encontrado
Selênio,mcg,,,BRC0032T,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0032T,Nome não encontrado
Vitamina A (RAE),mcg,"0,37","0,37",BRC0032T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0032T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,15","0,15",BRC0032T,Nome não encontrado
Tiamina,mg,"0,49","0,49",BRC0032T,Nome não encontrado
Riboflavina,mg,"0,11","0,11",BRC0032T,Nome não encontrado
Niacina,mg,"1,77","1,77",BRC0032T,Nome não encontrado
Vitamina B6,mg,"0,49","0,49",BRC0032T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0032T,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0032T,Nome não encontrado
Equivalente de folato,mcg,438,438,BRC0032T,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0032T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0032T,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0032T,Nome não encontrado
Proteína vegetal,g,"17,9","17,9",BRC0032T,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0032T,Nome não encontrado
