componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (120 g),codigo_alimento,nome_alimento
Energia,kJ,559,670,BRC0033E,Nome não encontrado
Energia,kcal,133,159,BRC0033E,Nome não encontrado
Umidade,g,"69,5","83,4",BRC0033E,Nome não encontrado
Carboidrato total,g,"0,00","0,00",BRC0033E,Nome não encontrado
Carboidrato disponível,g,"0,00","0,00",BRC0033E,Nome não encontrado
Proteína,g,"23,1","27,7",BRC0033E,Nome não encontrado
Lipídios,g,"4,65","5,58",BRC0033E,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0033E,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0033E,Nome não encontrado
Cinzas,g,"2,80","3,36",BRC0033E,Nome não encontrado
Colesterol,mg,159,191,BRC0033E,Nome não encontrado
Ácidos graxos saturados,g,"1,70","2,04",BRC0033E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,16","1,39",BRC0033E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,16","1,39",BRC0033E,Nome não encontrado
Ácidos graxos trans,g,"0,03","0,04",BRC0033E,Nome não encontrado
Cálcio,mg,"29,4","35,3",BRC0033E,Nome não encontrado
Ferro,mg,"0,41","0,49",BRC0033E,Nome não encontrado
Sódio,mg,"86,6",103,BRC0033E,Nome não encontrado
Magnésio,mg,"39,3","47,1",BRC0033E,Nome não encontrado
Fósforo,mg,257,308,BRC0033E,Nome não encontrado
Potássio,mg,441,529,BRC0033E,Nome não encontrado
Manganês,mg,"0,02","0,02",BRC0033E,Nome não encontrado
Zinco,mg,"1,50","1,80",BRC0033E,Nome não encontrado
Cobre,mg,"0,15","0,18",BRC0033E,Nome não encontrado
Selênio,mcg,,,BRC0033E,Nome não encontrado
Vitamina A (RE),mcg,traços,traços,BRC0033E,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,BRC0033E,Nome não encontrado
Vitamina D,mcg,,,BRC0033E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0033E,Nome não encontrado
Tiamina,mg,traços,traços,BRC0033E,Nome não encontrado
Riboflavina,mg,"0,08","0,09",BRC0033E,Nome não encontrado
Niacina,mg,"1,38","1,65",BRC0033E,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0033E,Nome não encontrado
Vitamina B12,mcg,,,BRC0033E,Nome não encontrado
Vitamina C,mg,,,BRC0033E,Nome não encontrado
Equivalente de folato,mcg,,,BRC0033E,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0033E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0033E,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0033E,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0033E,Nome não encontrado
Proteína animal,g,"23,0","27,6",BRC0033E,Nome não encontrado
