componente,unidade,Valor por 100g,Porção Média (100 g),codigo_alimento,nome_alimento
Energia,kJ,529,529,BRC0033J,Nome não encontrado
Energia,kcal,127,127,BRC0033J,Nome não encontrado
Umidade,g,"78,5","78,5",BRC0033J,Nome não encontrado
Carboidrato total,g,"3,29","3,29",BRC0033J,Nome não encontrado
Carboidrato disponível,g,"2,68","2,68",BRC0033J,Nome não encontrado
Proteína,g,"8,29","8,29",BRC0033J,Nome não encontrado
Lipídios,g,"9,13","9,13",BRC0033J,Nome não encontrado
Fibra alimentar,g,"0,61","0,61",BRC0033J,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0033J,Nome não encontrado
Cinzas,g,"0,85","0,85",BRC0033J,Nome não encontrado
Colesterol,mg,250,250,BRC0033J,Nome não encontrado
Ácidos graxos saturados,g,"2,57","2,57",BRC0033J,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,15","3,15",BRC0033J,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,18","2,18",BRC0033J,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01",BRC0033J,Nome não encontrado
Cálcio,mg,"39,0","39,0",BRC0033J,Nome não encontrado
Ferro,mg,"1,54","1,54",BRC0033J,Nome não encontrado
Sódio,mg,144,144,BRC0033J,Nome não encontrado
Magnésio,mg,"11,9","11,9",BRC0033J,Nome não encontrado
Fósforo,mg,123,123,BRC0033J,Nome não encontrado
Potássio,mg,196,196,BRC0033J,Nome não encontrado
Manganês,mg,"0,08","0,08",BRC0033J,Nome não encontrado
Zinco,mg,"1,06","1,06",BRC0033J,Nome não encontrado
Cobre,mg,"0,09","0,09",BRC0033J,Nome não encontrado
Selênio,mcg,"11,3","11,3",BRC0033J,Nome não encontrado
Vitamina A (RE),mcg,178,178,BRC0033J,Nome não encontrado
Vitamina A (RAE),mcg,148,148,BRC0033J,Nome não encontrado
Vitamina D,mcg,"1,33","1,33",BRC0033J,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,28","1,28",BRC0033J,Nome não encontrado
Tiamina,mg,"0,06","0,06",BRC0033J,Nome não encontrado
Riboflavina,mg,"0,41","0,41",BRC0033J,Nome não encontrado
Niacina,mg,"0,95","0,95",BRC0033J,Nome não encontrado
Vitamina B6,mg,"0,03","0,03",BRC0033J,Nome não encontrado
Vitamina B12,mcg,"0,57","0,57",BRC0033J,Nome não encontrado
Vitamina C,mg,"3,56","3,56",BRC0033J,Nome não encontrado
Equivalente de folato,mcg,"28,6","28,6",BRC0033J,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0033J,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0033J,Nome não encontrado
Gordura de adição,g,-,-,BRC0033J,Nome não encontrado
Proteína vegetal,g,-,-,BRC0033J,Nome não encontrado
Proteína animal,g,-,-,BRC0033J,Nome não encontrado
