componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),Porção Média (200 mL),codigo_alimento,nome_alimento
Energia,kJ,359,861,592,718,BRC0034G,Nome não encontrado
Energia,kcal,85,204,140,170,BRC0034G,Nome não encontrado
Umidade,g,"81,0",194,133,162,BRC0034G,Nome não encontrado
Carboidrato total,g,"13,9","33,4","22,9","27,8",BRC0034G,Nome não encontrado
Carboidrato disponível,g,"13,9","33,4","22,9","27,8",BRC0034G,Nome não encontrado
Proteína,g,"2,00","4,80","3,30","4,00",BRC0034G,Nome não encontrado
Lipídios,g,"2,40","5,76","3,96","4,80",BRC0034G,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00",BRC0034G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0034G,Nome não encontrado
Cinzas,g,"0,70","1,68","1,16","1,40",BRC0034G,Nome não encontrado
Colesterol,mg,"6,73","16,1","11,1","13,5",BRC0034G,Nome não encontrado
Ácidos graxos saturados,g,"1,22","2,92","2,01","2,43",BRC0034G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,66","1,59","1,10","1,33",BRC0034G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,11","0,27","0,18","0,22",BRC0034G,Nome não encontrado
Ácidos graxos trans,g,"0,24","0,58","0,40","0,49",BRC0034G,Nome não encontrado
Cálcio,mg,"53,5",128,"88,3",107,BRC0034G,Nome não encontrado
Ferro,mg,"0,90","2,16","1,49","1,80",BRC0034G,Nome não encontrado
Sódio,mg,"65,0",156,107,130,BRC0034G,Nome não encontrado
Magnésio,mg,"12,9","30,9","21,3","25,8",BRC0034G,Nome não encontrado
Fósforo,mg,"70,9",170,116,141,BRC0034G,Nome não encontrado
Potássio,mg,155,372,256,310,BRC0034G,Nome não encontrado
Manganês,mg,"0,05","0,12","0,08","0,10",BRC0034G,Nome não encontrado
Zinco,mg,"0,31","0,75","0,51","0,62",BRC0034G,Nome não encontrado
Cobre,mg,"0,05","0,11","0,07","0,09",BRC0034G,Nome não encontrado
Selênio,mcg,"2,80","6,71","4,61","5,59",BRC0034G,Nome não encontrado
Vitamina A (RE),mcg,"43,3",103,"71,5","86,7",BRC0034G,Nome não encontrado
Vitamina A (RAE),mcg,"43,2",103,"71,3","86,4",BRC0034G,Nome não encontrado
Vitamina D,mcg,"1,06","2,55","1,75","2,12",BRC0034G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,06","0,14","0,09","0,11",BRC0034G,Nome não encontrado
Tiamina,mg,"0,07","0,18","0,12","0,15",BRC0034G,Nome não encontrado
Riboflavina,mg,"0,29","0,70","0,48","0,58",BRC0034G,Nome não encontrado
Niacina,mg,"1,23","2,95","2,03","2,46",BRC0034G,Nome não encontrado
Vitamina B6,mg,"0,14","0,34","0,23","0,28",BRC0034G,Nome não encontrado
Vitamina B12,mcg,"0,29","0,71","0,49","0,59",BRC0034G,Nome não encontrado
Vitamina C,mg,"4,50","10,8","7,43","9,00",BRC0034G,Nome não encontrado
Equivalente de folato,mcg,"17,5","42,0","28,9","35,0",BRC0034G,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0034G,Nome não encontrado
Açúcar de adição,g,,,,,BRC0034G,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00",BRC0034G,Nome não encontrado
Proteína vegetal,g,,,,,BRC0034G,Nome não encontrado
Proteína animal,g,,,,,BRC0034G,Nome não encontrado
