componente,unidade,Valor por 100g,Colher sopa rasa (11 g),codigo_alimento,nome_alimento
Energia,kJ,1354,148,BRC0035G,Nome não encontrado
Energia,kcal,322,35,BRC0035G,Nome não encontrado
Umidade,g,"29,5","3,24",BRC0035G,Nome não encontrado
Carboidrato total,g,"52,5","5,77",BRC0035G,Nome não encontrado
Carboidrato disponível,g,"48,6","5,35",BRC0035G,Nome não encontrado
Proteína,g,"5,41","0,60",BRC0035G,Nome não encontrado
Lipídios,g,"10,9","1,20",BRC0035G,Nome não encontrado
Fibra alimentar,g,"3,82","0,42",BRC0035G,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0035G,Nome não encontrado
Cinzas,g,"1,71","0,19",BRC0035G,Nome não encontrado
Colesterol,mg,"31,7","3,48",BRC0035G,Nome não encontrado
Ácidos graxos saturados,g,"5,73","0,63",BRC0035G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,13","0,34",BRC0035G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,52","0,06",BRC0035G,Nome não encontrado
Ácidos graxos trans,g,"1,15","0,13",BRC0035G,Nome não encontrado
Cálcio,mg,257,"28,3",BRC0035G,Nome não encontrado
Ferro,mg,"1,69","0,19",BRC0035G,Nome não encontrado
Sódio,mg,264,"29,1",BRC0035G,Nome não encontrado
Magnésio,mg,"47,5","5,23",BRC0035G,Nome não encontrado
Fósforo,mg,261,"28,8",BRC0035G,Nome não encontrado
Potássio,mg,573,"63,0",BRC0035G,Nome não encontrado
Manganês,mg,"0,19","0,02",BRC0035G,Nome não encontrado
Zinco,mg,"1,15","0,13",BRC0035G,Nome não encontrado
Cobre,mg,"0,17","0,02",BRC0035G,Nome não encontrado
Selênio,mcg,,,BRC0035G,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0035G,Nome não encontrado
Vitamina A (RAE),mcg,"87,1","9,58",BRC0035G,Nome não encontrado
Vitamina D,mcg,"4,20","0,46",BRC0035G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,23","0,02",BRC0035G,Nome não encontrado
Tiamina,mg,"0,27","0,03",BRC0035G,Nome não encontrado
Riboflavina,mg,"1,07","0,12",BRC0035G,Nome não encontrado
Niacina,mg,"4,54","0,50",BRC0035G,Nome não encontrado
Vitamina B6,mg,"0,52","0,06",BRC0035G,Nome não encontrado
Vitamina B12,mcg,"1,32","0,14",BRC0035G,Nome não encontrado
Vitamina C,mg,"12,0","1,32",BRC0035G,Nome não encontrado
Equivalente de folato,mcg,"19,9","2,19",BRC0035G,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0035G,Nome não encontrado
Açúcar de adição,g,,,BRC0035G,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0035G,Nome não encontrado
Proteína vegetal,g,,,BRC0035G,Nome não encontrado
Proteína animal,g,,,BRC0035G,Nome não encontrado
