componente,unidade,Valor por 100g,Colher café cheia (3.5 g),Colher café rasa (2 g),Colher chá cheia (8 g),Colher chá rasa (3 g),Colher sobremesa cheia (21 g),Colher sobremesa rasa (11 g),Colher sopa cheia (22 g),Colher sopa rasa (17 g),codigo_alimento,nome_alimento
Energia,kJ,3700,129,74,296,111,777,407,814,629,BRC0036D,Nome não encontrado
Energia,kcal,900,31,18,72,27,189,99,198,153,BRC0036D,Nome não encontrado
Umidade,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0036D,Nome não encontrado
Carboidrato total,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0036D,Nome não encontrado
Carboidrato disponível,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0036D,Nome não encontrado
Proteína,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0036D,Nome não encontrado
Lipídios,g,"100,0","3,50","2,00","8,00","3,00","21,0","11,0","22,0","17,0",BRC0036D,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0036D,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0036D,Nome não encontrado
Cinzas,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0036D,Nome não encontrado
Colesterol,mg,109,"3,82","2,18","8,72","3,27","22,9","12,0","24,0","18,5",BRC0036D,Nome não encontrado
Ácidos graxos saturados,g,"49,8","1,74","1,00","3,98","1,49","10,5","5,48","11,0","8,47",BRC0036D,Nome não encontrado
Ácidos graxos monoinsaturados,g,"41,8","1,46","0,84","3,34","1,25","8,78","4,60","9,20","7,11",BRC0036D,Nome não encontrado
Ácidos graxos poliinsaturados,g,"4,00","0,14","0,08","0,32","0,12","0,84","0,44","0,88","0,68",BRC0036D,Nome não encontrado
Ácidos graxos trans,g,,,,,,,,,,BRC0036D,Nome não encontrado
Cálcio,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0036D,Nome não encontrado
Ferro,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0036D,Nome não encontrado
Sódio,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0036D,Nome não encontrado
Magnésio,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0036D,Nome não encontrado
Fósforo,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0036D,Nome não encontrado
Potássio,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0036D,Nome não encontrado
Manganês,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0036D,Nome não encontrado
Zinco,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0036D,Nome não encontrado
Cobre,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0036D,Nome não encontrado
Selênio,mcg,"0,20","0,01","0,00","0,02","0,01","0,04","0,02","0,04","0,03",BRC0036D,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0036D,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0036D,Nome não encontrado
Vitamina D,mcg,"0,70","0,02","0,01","0,06","0,02","0,15","0,08","0,15","0,12",BRC0036D,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"2,70","0,09","0,05","0,22","0,08","0,57","0,30","0,59","0,46",BRC0036D,Nome não encontrado
Tiamina,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0036D,Nome não encontrado
Riboflavina,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0036D,Nome não encontrado
Niacina,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0036D,Nome não encontrado
Vitamina B6,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0036D,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0036D,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0036D,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0036D,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0036D,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0036D,Nome não encontrado
Gordura de adição,g,"100,0","3,50","2,00","8,00","3,00","21,0","11,0","22,0","17,0",BRC0036D,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0036D,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0036D,Nome não encontrado
