componente,unidade,Valor por 100g,Colher sobremesa rasa (8 ml),codigo_alimento,nome_alimento
Energia,kJ,3665,293,BRC0038D,Nome não encontrado
Energia,kcal,892,71,BRC0038D,Nome não encontrado
Umidade,g,"0,03","0,00",BRC0038D,Nome não encontrado
Carboidrato total,g,"0,00","0,00",BRC0038D,Nome não encontrado
Carboidrato disponível,g,"0,00","0,00",BRC0038D,Nome não encontrado
Proteína,g,"0,00","0,00",BRC0038D,Nome não encontrado
Lipídios,g,"99,1","7,92",BRC0038D,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0038D,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0038D,Nome não encontrado
Cinzas,g,"0,03","0,00",BRC0038D,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0038D,Nome não encontrado
Ácidos graxos saturados,g,"82,5","6,60",BRC0038D,Nome não encontrado
Ácidos graxos monoinsaturados,g,"6,33","0,51",BRC0038D,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,70","0,14",BRC0038D,Nome não encontrado
Ácidos graxos trans,g,,,BRC0038D,Nome não encontrado
Cálcio,mg,"1,00","0,08",BRC0038D,Nome não encontrado
Ferro,mg,"0,05","0,00",BRC0038D,Nome não encontrado
Sódio,mg,"0,00","0,00",BRC0038D,Nome não encontrado
Magnésio,mg,"0,00","0,00",BRC0038D,Nome não encontrado
Fósforo,mg,"0,00","0,00",BRC0038D,Nome não encontrado
Potássio,mg,"0,00","0,00",BRC0038D,Nome não encontrado
Manganês,mg,,,BRC0038D,Nome não encontrado
Zinco,mg,"0,02","0,00",BRC0038D,Nome não encontrado
Cobre,mg,"0,00","0,00",BRC0038D,Nome não encontrado
Selênio,mcg,,,BRC0038D,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0038D,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0038D,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0038D,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,11","0,01",BRC0038D,Nome não encontrado
Tiamina,mg,"0,00","0,00",BRC0038D,Nome não encontrado
Riboflavina,mg,"0,00","0,00",BRC0038D,Nome não encontrado
Niacina,mg,"0,00","0,00",BRC0038D,Nome não encontrado
Vitamina B6,mg,"0,00","0,00",BRC0038D,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0038D,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0038D,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00",BRC0038D,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0038D,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0038D,Nome não encontrado
Gordura de adição,g,"99,1","7,92",BRC0038D,Nome não encontrado
Proteína vegetal,g,-,-,BRC0038D,Nome não encontrado
Proteína animal,g,-,-,BRC0038D,Nome não encontrado
