componente,unidade,Valor por 100g,Colher servir rasa (40 g),Colher sopa cheia (30 g),Escumadeira cheia (50 g),codigo_alimento,nome_alimento
Energia,kJ,220,88,66,110,BRC0041B,Nome não encontrado
Energia,kcal,52,20,15,25,BRC0041B,Nome não encontrado
Umidade,g,"85,9","34,4","25,8","42,9",BRC0041B,Nome não encontrado
Carboidrato total,g,"12,3","4,91","3,69","6,14",BRC0041B,Nome não encontrado
Carboidrato disponível,g,"10,8","4,33","3,24","5,41",BRC0041B,Nome não encontrado
Proteína,g,"1,33","0,53","0,40","0,67",BRC0041B,Nome não encontrado
Lipídios,g,"0,05","0,02","0,02","0,03",BRC0041B,Nome não encontrado
Fibra alimentar,g,"1,47","0,59","0,44","0,74",BRC0041B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0041B,Nome não encontrado
Cinzas,g,"0,45","0,18","0,14","0,23",BRC0041B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0041B,Nome não encontrado
Ácidos graxos saturados,g,"0,01","0,01","0,00","0,01",BRC0041B,Nome não encontrado
Ácidos graxos monoinsaturados,g,traços,traços,traços,traços,BRC0041B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,02","0,01","0,01","0,01",BRC0041B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0041B,Nome não encontrado
Cálcio,mg,"3,64","1,46","1,09","1,82",BRC0041B,Nome não encontrado
Ferro,mg,"0,20","0,08","0,06","0,10",BRC0041B,Nome não encontrado
Sódio,mg,"2,37","0,95","0,71","1,19",BRC0041B,Nome não encontrado
Magnésio,mg,"5,62","2,25","1,68","2,81",BRC0041B,Nome não encontrado
Fósforo,mg,"25,2","10,1","7,56","12,6",BRC0041B,Nome não encontrado
Potássio,mg,232,"92,9","69,7",116,BRC0041B,Nome não encontrado
Manganês,mg,"0,07","0,03","0,02","0,03",BRC0041B,Nome não encontrado
Zinco,mg,"0,19","0,08","0,06","0,10",BRC0041B,Nome não encontrado
Cobre,mg,"0,06","0,02","0,02","0,03",BRC0041B,Nome não encontrado
Selênio,mcg,"0,20","0,08","0,06","0,10",BRC0041B,Nome não encontrado
Vitamina A (RE),mcg,traços,traços,traços,traços,BRC0041B,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,traços,traços,BRC0041B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0041B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,traços,traços,traços,traços,BRC0041B,Nome não encontrado
Tiamina,mg,"0,05","0,02","0,02","0,03",BRC0041B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,BRC0041B,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,BRC0041B,Nome não encontrado
Vitamina B6,mg,"0,09","0,03","0,03","0,04",BRC0041B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0041B,Nome não encontrado
Vitamina C,mg,"3,89","1,56","1,17","1,95",BRC0041B,Nome não encontrado
Equivalente de folato,mcg,"5,64","2,26","1,69","2,82",BRC0041B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0041B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0041B,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00",BRC0041B,Nome não encontrado
Proteína vegetal,g,"1,33","0,53","0,40","0,67",BRC0041B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00",BRC0041B,Nome não encontrado
