componente,unidade,Valor por 100g,Colher sopa cheia (30 g),Colher sopa rasa (15 g),codigo_alimento,nome_alimento
Energia,kJ,287,86,43,BRC0041N,Nome não encontrado
Energia,kcal,68,20,10,BRC0041N,Nome não encontrado
Umidade,g,"79,5","23,9","11,9",BRC0041N,Nome não encontrado
Carboidrato total,g,"4,15","1,25","0,62",BRC0041N,Nome não encontrado
Carboidrato disponível,g,"4,15","1,25","0,62",BRC0041N,Nome não encontrado
Proteína,g,"12,5","3,75","1,88",BRC0041N,Nome não encontrado
Lipídios,g,"0,10","0,03","0,02",BRC0041N,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00",BRC0041N,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0041N,Nome não encontrado
Cinzas,g,"3,75","1,13","0,56",BRC0041N,Nome não encontrado
Colesterol,mg,"0,31","0,09","0,05",BRC0041N,Nome não encontrado
Ácidos graxos saturados,g,"0,06","0,02","0,01",BRC0041N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,03","0,01","0,00",BRC0041N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00","0,00",BRC0041N,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0041N,Nome não encontrado
Cálcio,mg,141,"42,5","21,3",BRC0041N,Nome não encontrado
Ferro,mg,"0,06","0,02","0,01",BRC0041N,Nome não encontrado
Sódio,mg,304,"91,4","45,7",BRC0041N,Nome não encontrado
Magnésio,mg,"6,35","1,91","0,95",BRC0041N,Nome não encontrado
Fósforo,mg,244,"73,4","36,7",BRC0041N,Nome não encontrado
Potássio,mg,"50,8","15,2","7,62",BRC0041N,Nome não encontrado
Manganês,mg,"0,01","0,00","0,00",BRC0041N,Nome não encontrado
Zinco,mg,"0,70","0,21","0,10",BRC0041N,Nome não encontrado
Cobre,mg,"0,03","0,01","0,00",BRC0041N,Nome não encontrado
Selênio,mcg,,,,BRC0041N,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0041N,Nome não encontrado
Vitamina A (RAE),mcg,,,,BRC0041N,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0041N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00",BRC0041N,Nome não encontrado
Tiamina,mg,traços,traços,traços,BRC0041N,Nome não encontrado
Riboflavina,mg,"0,10","0,03","0,02",BRC0041N,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0041N,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0041N,Nome não encontrado
Vitamina B12,mcg,"0,20","0,06","0,03",BRC0041N,Nome não encontrado
Vitamina C,mg,traços,traços,traços,BRC0041N,Nome não encontrado
Equivalente de folato,mcg,"5,93","1,78","0,89",BRC0041N,Nome não encontrado
Sal de adição,g,,,,BRC0041N,Nome não encontrado
Açúcar de adição,g,,,,BRC0041N,Nome não encontrado
Gordura de adição,g,,,,BRC0041N,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00",BRC0041N,Nome não encontrado
Proteína animal,g,"12,5","3,75","1,88",BRC0041N,Nome não encontrado
