componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,261,627,431,BRC0043G,Nome não encontrado
Energia,kcal,62,149,103,BRC0043G,Nome não encontrado
Umidade,g,"88,0",211,145,BRC0043G,Nome não encontrado
Carboidrato total,g,"4,80","11,5","7,92",BRC0043G,Nome não encontrado
Carboidrato disponível,g,"4,80","11,5","7,92",BRC0043G,Nome não encontrado
Proteína,g,"3,19","7,66","5,26",BRC0043G,Nome não encontrado
Lipídios,g,"3,39","8,14","5,59",BRC0043G,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00",BRC0043G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0043G,Nome não encontrado
Cinzas,g,"0,68","1,63","1,12",BRC0043G,Nome não encontrado
Colesterol,mg,"12,4","29,7","20,4",BRC0043G,Nome não encontrado
Ácidos graxos saturados,g,"2,01","4,83","3,32",BRC0043G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,93","2,24","1,54",BRC0043G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,12","0,29","0,20",BRC0043G,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0043G,Nome não encontrado
Cálcio,mg,107,257,176,BRC0043G,Nome não encontrado
Ferro,mg,"0,08","0,18","0,12",BRC0043G,Nome não encontrado
Sódio,mg,"63,8",153,105,BRC0043G,Nome não encontrado
Magnésio,mg,"9,71","23,3","16,0",BRC0043G,Nome não encontrado
Fósforo,mg,"82,0",196,135,BRC0043G,Nome não encontrado
Potássio,mg,133,319,219,BRC0043G,Nome não encontrado
Manganês,mg,traços,traços,traços,BRC0043G,Nome não encontrado
Zinco,mg,"0,38","0,92","0,63",BRC0043G,Nome não encontrado
Cobre,mg,"0,02","0,05","0,03",BRC0043G,Nome não encontrado
Selênio,mcg,"4,81","11,5","7,93",BRC0043G,Nome não encontrado
Vitamina A (RE),mcg,"49,6",119,"81,8",BRC0043G,Nome não encontrado
Vitamina A (RAE),mcg,"48,8",117,"80,5",BRC0043G,Nome não encontrado
Vitamina D,mcg,"1,19","2,86","1,96",BRC0043G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,08","0,18","0,13",BRC0043G,Nome não encontrado
Tiamina,mg,"0,04","0,10","0,07",BRC0043G,Nome não encontrado
Riboflavina,mg,"0,24","0,58","0,40",BRC0043G,Nome não encontrado
Niacina,mg,"1,52","3,65","2,51",BRC0043G,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0043G,Nome não encontrado
Vitamina B12,mcg,"0,37","0,90","0,62",BRC0043G,Nome não encontrado
Vitamina C,mg,traços,traços,traços,BRC0043G,Nome não encontrado
Equivalente de folato,mcg,"5,18","12,4","8,55",BRC0043G,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0043G,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0043G,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0043G,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00",BRC0043G,Nome não encontrado
Proteína animal,g,"2,93","7,03","4,83",BRC0043G,Nome não encontrado
