componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,268,642,441,BRC0044T,Nome não encontrado
Energia,kcal,63,152,104,BRC0044T,Nome não encontrado
Umidade,g,"85,3",204,140,BRC0044T,Nome não encontrado
Carboidrato total,g,"11,9","28,5","19,6",BRC0044T,Nome não encontrado
Carboidrato disponível,g,"11,5","27,7","19,0",BRC0044T,Nome não encontrado
Proteína,g,"1,27","3,05","2,10",BRC0044T,Nome não encontrado
Lipídios,g,"1,28","3,07","2,11",BRC0044T,Nome não encontrado
Fibra alimentar,g,"0,34","0,82","0,56",BRC0044T,Nome não encontrado
Álcool,g,,,,BRC0044T,Nome não encontrado
Cinzas,g,"0,26","0,62","0,43",BRC0044T,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0044T,Nome não encontrado
Ácidos graxos saturados,g,"0,16","0,38","0,26",BRC0044T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,24","0,57","0,39",BRC0044T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,48","1,15","0,79",BRC0044T,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,02","0,01",BRC0044T,Nome não encontrado
Cálcio,mg,"27,8","66,8","45,9",BRC0044T,Nome não encontrado
Ferro,mg,"0,73","1,75","1,21",BRC0044T,Nome não encontrado
Sódio,mg,"95,2",228,157,BRC0044T,Nome não encontrado
Magnésio,mg,"26,0","62,5","42,9",BRC0044T,Nome não encontrado
Fósforo,mg,"89,1",213,146,BRC0044T,Nome não encontrado
Potássio,mg,203,489,336,BRC0044T,Nome não encontrado
Manganês,mg,"0,25","0,59","0,41",BRC0044T,Nome não encontrado
Zinco,mg,"0,47","1,12","0,77",BRC0044T,Nome não encontrado
Cobre,mg,"0,14","0,34","0,23",BRC0044T,Nome não encontrado
Selênio,mcg,,,,BRC0044T,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00",BRC0044T,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00",BRC0044T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0044T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00",BRC0044T,Nome não encontrado
Tiamina,mg,traços,traços,traços,BRC0044T,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0044T,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0044T,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0044T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0044T,Nome não encontrado
Vitamina C,mg,traços,traços,traços,BRC0044T,Nome não encontrado
Equivalente de folato,mcg,"44,3",106,"73,0",BRC0044T,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0044T,Nome não encontrado
Açúcar de adição,g,,,,BRC0044T,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0044T,Nome não encontrado
Proteína vegetal,g,"1,27","3,05","2,10",BRC0044T,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0044T,Nome não encontrado
