componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),Pedaço/ Unidade/ Fatia (M) (350 mL),codigo_alimento,nome_alimento
Energia,kJ,5,11,7,16,BRC0045N,Nome não encontrado
Energia,kcal,1,2,1,3,BRC0045N,Nome não encontrado
Umidade,g,"99,7",239,164,348,BRC0045N,Nome não encontrado
Carboidrato total,g,"0,28","0,67","0,46","0,98",BRC0045N,Nome não encontrado
Carboidrato disponível,g,"0,28","0,67","0,46","0,98",BRC0045N,Nome não encontrado
Proteína,g,"0,00","0,00","0,00","0,00",BRC0045N,Nome não encontrado
Lipídios,g,"0,00","0,00","0,00","0,00",BRC0045N,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00",BRC0045N,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0045N,Nome não encontrado
Cinzas,g,"0,07","0,17","0,12","0,25",BRC0045N,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0045N,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00","0,00","0,00",BRC0045N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00","0,00","0,00",BRC0045N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00","0,00","0,00",BRC0045N,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0045N,Nome não encontrado
Cálcio,mg,"0,00","0,00","0,00","0,00",BRC0045N,Nome não encontrado
Ferro,mg,"0,00","0,00","0,00","0,00",BRC0045N,Nome não encontrado
Sódio,mg,"0,78","1,87","1,28","2,72",BRC0045N,Nome não encontrado
Magnésio,mg,"0,00","0,00","0,00","0,00",BRC0045N,Nome não encontrado
Fósforo,mg,"0,00","0,00","0,00","0,00",BRC0045N,Nome não encontrado
Potássio,mg,"28,8","69,1","47,5",100,BRC0045N,Nome não encontrado
Manganês,mg,,,,,BRC0045N,Nome não encontrado
Zinco,mg,"0,01","0,02","0,01","0,03",BRC0045N,Nome não encontrado
Cobre,mg,,,,,BRC0045N,Nome não encontrado
Selênio,mcg,,,,,BRC0045N,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00",BRC0045N,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00",BRC0045N,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0045N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00","0,00",BRC0045N,Nome não encontrado
Tiamina,mg,"0,00","0,00","0,00","0,00",BRC0045N,Nome não encontrado
Riboflavina,mg,"0,00","0,00","0,00","0,00",BRC0045N,Nome não encontrado
Niacina,mg,"0,00","0,00","0,00","0,00",BRC0045N,Nome não encontrado
Vitamina B6,mg,"0,00","0,00","0,00","0,00",BRC0045N,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0045N,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00",BRC0045N,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00","0,00","0,00",BRC0045N,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0045N,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0045N,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00",BRC0045N,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00","0,00",BRC0045N,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00",BRC0045N,Nome não encontrado
