componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,444,1064,732,887,BRC0047H,Nome não encontrado
Energia,kcal,105,252,173,210,BRC0047H,Nome não encontrado
Umidade,g,"75,8",181,125,151,BRC0047H,Nome não encontrado
Carboidrato total,g,"18,7","44,8","30,8","37,4",BRC0047H,Nome não encontrado
Carboidrato disponível,g,"18,1","43,5","29,9","36,2",BRC0047H,Nome não encontrado
Proteína,g,"2,47","5,92","4,07","4,93",BRC0047H,Nome não encontrado
Lipídios,g,"2,41","5,79","3,98","4,83",BRC0047H,Nome não encontrado
Fibra alimentar,g,"0,56","1,35","0,93","1,12",BRC0047H,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0047H,Nome não encontrado
Cinzas,g,"0,62","1,48","1,02","1,23",BRC0047H,Nome não encontrado
Colesterol,mg,"8,14","19,5","13,4","16,3",BRC0047H,Nome não encontrado
Ácidos graxos saturados,g,"1,46","3,51","2,42","2,93",BRC0047H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,70","1,68","1,16","1,40",BRC0047H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,12","0,28","0,19","0,23",BRC0047H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0047H,Nome não encontrado
Cálcio,mg,"78,1",187,128,156,BRC0047H,Nome não encontrado
Ferro,mg,"0,69","1,64","1,13","1,37",BRC0047H,Nome não encontrado
Sódio,mg,"49,0",117,"80,9","98,0",BRC0047H,Nome não encontrado
Magnésio,mg,"17,1","41,0","28,2","34,2",BRC0047H,Nome não encontrado
Fósforo,mg,"75,4",180,124,150,BRC0047H,Nome não encontrado
Potássio,mg,174,418,287,348,BRC0047H,Nome não encontrado
Manganês,mg,"0,18","0,43","0,30","0,36",BRC0047H,Nome não encontrado
Zinco,mg,"0,36","0,86","0,59","0,72",BRC0047H,Nome não encontrado
Cobre,mg,"0,07","0,17","0,12","0,14",BRC0047H,Nome não encontrado
Selênio,mcg,"3,42","8,20","5,64","6,83",BRC0047H,Nome não encontrado
Vitamina A (RE),mcg,107,257,177,214,BRC0047H,Nome não encontrado
Vitamina A (RAE),mcg,106,256,176,213,BRC0047H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0047H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,07","0,17","0,12","0,14",BRC0047H,Nome não encontrado
Tiamina,mg,"0,16","0,38","0,26","0,32",BRC0047H,Nome não encontrado
Riboflavina,mg,"0,27","0,65","0,45","0,54",BRC0047H,Nome não encontrado
Niacina,mg,"1,51","3,62","2,49","3,01",BRC0047H,Nome não encontrado
Vitamina B6,mg,"0,14","0,35","0,24","0,29",BRC0047H,Nome não encontrado
Vitamina B12,mcg,"0,25","0,59","0,40","0,49",BRC0047H,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00",BRC0047H,Nome não encontrado
Equivalente de folato,mcg,"4,35","10,4","7,18","8,71",BRC0047H,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0047H,Nome não encontrado
Açúcar de adição,g,"6,00","14,4","9,90","12,0",BRC0047H,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0047H,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0047H,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0047H,Nome não encontrado
