componente,unidade,Valor por 100g,Colher sobremesa cheia (7 g),Colher sobremesa rasa (4 g),Colher sopa cheia (12 g),Colher sopa rasa (7 g),codigo_alimento,nome_alimento
Energia,kJ,1994,139,79,239,139,BRC0048T,Nome não encontrado
Energia,kcal,478,33,19,57,33,BRC0048T,Nome não encontrado
Umidade,g,"4,47","0,31","0,18","0,54","0,31",BRC0048T,Nome não encontrado
Carboidrato total,g,"28,5","1,99","1,14","3,42","1,99",BRC0048T,Nome não encontrado
Carboidrato disponível,g,"21,2","1,48","0,85","2,54","1,48",BRC0048T,Nome não encontrado
Proteína,g,"35,7","2,50","1,43","4,28","2,50",BRC0048T,Nome não encontrado
Lipídios,g,"26,2","1,83","1,05","3,14","1,83",BRC0048T,Nome não encontrado
Fibra alimentar,g,"7,31","0,51","0,29","0,88","0,51",BRC0048T,Nome não encontrado
Álcool,g,,,,,,BRC0048T,Nome não encontrado
Cinzas,g,"5,18","0,36","0,21","0,62","0,36",BRC0048T,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC0048T,Nome não encontrado
Ácidos graxos saturados,g,"3,30","0,23","0,13","0,40","0,23",BRC0048T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"6,40","0,45","0,26","0,77","0,45",BRC0048T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"12,9","0,90","0,52","1,55","0,90",BRC0048T,Nome não encontrado
Ácidos graxos trans,g,,,,,,BRC0048T,Nome não encontrado
Cálcio,mg,359,"25,1","14,4","43,1","25,1",BRC0048T,Nome não encontrado
Ferro,mg,"7,01","0,49","0,28","0,84","0,49",BRC0048T,Nome não encontrado
Sódio,mg,"83,5","5,84","3,34","10,0","5,84",BRC0048T,Nome não encontrado
Magnésio,mg,215,"15,1","8,62","25,9","15,1",BRC0048T,Nome não encontrado
Fósforo,mg,646,"45,3","25,9","77,6","45,3",BRC0048T,Nome não encontrado
Potássio,mg,1606,112,"64,3",192,112,BRC0048T,Nome não encontrado
Manganês,mg,"2,68","0,19","0,11","0,32","0,19",BRC0048T,Nome não encontrado
Zinco,mg,"5,84","0,41","0,23","0,70","0,41",BRC0048T,Nome não encontrado
Cobre,mg,"1,19","0,08","0,05","0,14","0,08",BRC0048T,Nome não encontrado
Selênio,mcg,"1,30","0,09","0,05","0,16","0,09",BRC0048T,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00","0,00",BRC0048T,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00","0,00",BRC0048T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0048T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00","0,00","0,00",BRC0048T,Nome não encontrado
Tiamina,mg,traços,traços,traços,traços,traços,BRC0048T,Nome não encontrado
Riboflavina,mg,"0,11","0,01","0,00","0,01","0,01",BRC0048T,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,BRC0048T,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,traços,traços,BRC0048T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0048T,Nome não encontrado
Vitamina C,mg,"9,21","0,64","0,37","1,11","0,64",BRC0048T,Nome não encontrado
Equivalente de folato,mcg,287,"20,2","11,5","34,6","20,2",BRC0048T,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0048T,Nome não encontrado
Açúcar de adição,g,,,,,,BRC0048T,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0048T,Nome não encontrado
Proteína vegetal,g,"35,7","2,50","1,43","4,28","2,50",BRC0048T,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00",BRC0048T,Nome não encontrado
