componente,unidade,Valor por 100g,Colher sopa cheia (30 g),codigo_alimento,nome_alimento
Energia,kJ,1258,377,BRC0049G,Nome não encontrado
Energia,kcal,302,90,BRC0049G,Nome não encontrado
Umidade,g,"45,8","13,7",BRC0049G,Nome não encontrado
Carboidrato total,g,"0,10","0,03",BRC0049G,Nome não encontrado
Carboidrato disponível,g,"0,10","0,03",BRC0049G,Nome não encontrado
Proteína,g,"27,4","8,21",BRC0049G,Nome não encontrado
Lipídios,g,"21,4","6,41",BRC0049G,Nome não encontrado
Fibra alimentar,g,,,BRC0049G,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0049G,Nome não encontrado
Cinzas,g,"5,40","1,62",BRC0049G,Nome não encontrado
Colesterol,mg,"64,0","19,2",BRC0049G,Nome não encontrado
Ácidos graxos saturados,g,"12,4","3,72",BRC0049G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"5,69","1,71",BRC0049G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,31","0,09",BRC0049G,Nome não encontrado
Ácidos graxos trans,g,"0,80","0,24",BRC0049G,Nome não encontrado
Cálcio,mg,384,115,BRC0049G,Nome não encontrado
Ferro,mg,"0,32","0,09",BRC0049G,Nome não encontrado
Sódio,mg,928,278,BRC0049G,Nome não encontrado
Magnésio,mg,"19,0","5,71",BRC0049G,Nome não encontrado
Fósforo,mg,687,206,BRC0049G,Nome não encontrado
Potássio,mg,230,"69,2",BRC0049G,Nome não encontrado
Manganês,mg,"0,02","0,00",BRC0049G,Nome não encontrado
Zinco,mg,"1,55","0,47",BRC0049G,Nome não encontrado
Cobre,mg,"0,05","0,02",BRC0049G,Nome não encontrado
Selênio,mcg,,,BRC0049G,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0049G,Nome não encontrado
Vitamina A (RAE),mcg,616,184,BRC0049G,Nome não encontrado
Vitamina D,mcg,,,BRC0049G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0049G,Nome não encontrado
Tiamina,mg,traços,traços,BRC0049G,Nome não encontrado
Riboflavina,mg,"0,24","0,07",BRC0049G,Nome não encontrado
Niacina,mg,traços,traços,BRC0049G,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0049G,Nome não encontrado
Vitamina B12,mcg,"1,22","0,37",BRC0049G,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0049G,Nome não encontrado
Equivalente de folato,mcg,"4,77","1,43",BRC0049G,Nome não encontrado
Sal de adição,g,,,BRC0049G,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0049G,Nome não encontrado
Gordura de adição,g,,,BRC0049G,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0049G,Nome não encontrado
Proteína animal,g,"27,4","8,21",BRC0049G,Nome não encontrado
