componente,unidade,Valor por 100g,Colher café cheia (4 g),Colher café rasa (1 g),codigo_alimento,nome_alimento
Energia,kJ,1599,63,15,BRC0049L,Nome não encontrado
Energia,kcal,377,15,3,BRC0049L,Nome não encontrado
Umidade,g,"8,17","0,33","0,08",BRC0049L,Nome não encontrado
Carboidrato total,g,"71,6","2,86","0,72",BRC0049L,Nome não encontrado
Carboidrato disponível,g,"71,6","2,86","0,72",BRC0049L,Nome não encontrado
Proteína,g,"16,5","0,66","0,16",BRC0049L,Nome não encontrado
Lipídios,g,"2,76","0,11","0,03",BRC0049L,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00",BRC0049L,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0049L,Nome não encontrado
Cinzas,g,"1,03","0,04","0,01",BRC0049L,Nome não encontrado
Colesterol,mg,,,,BRC0049L,Nome não encontrado
Ácidos graxos saturados,g,,,,BRC0049L,Nome não encontrado
Ácidos graxos monoinsaturados,g,,,,BRC0049L,Nome não encontrado
Ácidos graxos poliinsaturados,g,,,,BRC0049L,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0049L,Nome não encontrado
Cálcio,mg,,,,BRC0049L,Nome não encontrado
Ferro,mg,,,,BRC0049L,Nome não encontrado
Sódio,mg,,,,BRC0049L,Nome não encontrado
Magnésio,mg,,,,BRC0049L,Nome não encontrado
Fósforo,mg,,,,BRC0049L,Nome não encontrado
Potássio,mg,,,,BRC0049L,Nome não encontrado
Manganês,mg,,,,BRC0049L,Nome não encontrado
Zinco,mg,,,,BRC0049L,Nome não encontrado
Cobre,mg,,,,BRC0049L,Nome não encontrado
Selênio,mcg,,,,BRC0049L,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0049L,Nome não encontrado
Vitamina A (RAE),mcg,,,,BRC0049L,Nome não encontrado
Vitamina D,mcg,,,,BRC0049L,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,,BRC0049L,Nome não encontrado
Tiamina,mg,,,,BRC0049L,Nome não encontrado
Riboflavina,mg,,,,BRC0049L,Nome não encontrado
Niacina,mg,,,,BRC0049L,Nome não encontrado
Vitamina B6,mg,,,,BRC0049L,Nome não encontrado
Vitamina B12,mcg,,,,BRC0049L,Nome não encontrado
Vitamina C,mg,,,,BRC0049L,Nome não encontrado
Equivalente de folato,mcg,,,,BRC0049L,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0049L,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0049L,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0049L,Nome não encontrado
Proteína vegetal,g,"16,5","0,66","0,16",BRC0049L,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0049L,Nome não encontrado
