componente,unidade,Valor por 100g,Colher chá cheia (1.5 g),Colher sobremesa cheia (4 g),codigo_alimento,nome_alimento
Energia,kJ,1508,22,60,BRC0051L,Nome não encontrado
Energia,kcal,355,5,14,BRC0051L,Nome não encontrado
Umidade,g,"3,10","0,05","0,12",BRC0051L,Nome não encontrado
Carboidrato total,g,"75,4","1,13","3,02",BRC0051L,Nome não encontrado
Carboidrato disponível,g,"75,4","1,13","3,02",BRC0051L,Nome não encontrado
Proteína,g,"12,2","0,18","0,49",BRC0051L,Nome não encontrado
Lipídios,g,"0,50","0,01","0,02",BRC0051L,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00",BRC0051L,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0051L,Nome não encontrado
Cinzas,g,"8,80","0,13","0,35",BRC0051L,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0051L,Nome não encontrado
Ácidos graxos saturados,g,"0,20","0,00","0,01",BRC0051L,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,04","0,00","0,00",BRC0051L,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,20","0,00","0,01",BRC0051L,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0051L,Nome não encontrado
Cálcio,mg,141,"2,12","5,64",BRC0051L,Nome não encontrado
Ferro,mg,"4,41","0,07","0,18",BRC0051L,Nome não encontrado
Sódio,mg,"37,0","0,56","1,48",BRC0051L,Nome não encontrado
Magnésio,mg,327,"4,91","13,1",BRC0051L,Nome não encontrado
Fósforo,mg,303,"4,55","12,1",BRC0051L,Nome não encontrado
Potássio,mg,3535,"53,0",141,BRC0051L,Nome não encontrado
Manganês,mg,"1,71","0,03","0,07",BRC0051L,Nome não encontrado
Zinco,mg,"0,35","0,01","0,01",BRC0051L,Nome não encontrado
Cobre,mg,"0,14","0,00","0,01",BRC0051L,Nome não encontrado
Selênio,mcg,"12,6","0,19","0,50",BRC0051L,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00",BRC0051L,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00",BRC0051L,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0051L,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00",BRC0051L,Nome não encontrado
Tiamina,mg,"0,01","0,00","0,00",BRC0051L,Nome não encontrado
Riboflavina,mg,"0,07","0,00","0,00",BRC0051L,Nome não encontrado
Niacina,mg,"28,2","0,42","1,13",BRC0051L,Nome não encontrado
Vitamina B6,mg,"0,03","0,00","0,00",BRC0051L,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0051L,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00",BRC0051L,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00","0,00",BRC0051L,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0051L,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0051L,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0051L,Nome não encontrado
Proteína vegetal,g,"12,2","0,18","0,49",BRC0051L,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0051L,Nome não encontrado
