componente,unidade,Valor por 100g,Colher sopa rasa (18 g),codigo_alimento,nome_alimento
Energia,kJ,392,70,BRC0054T,Nome não encontrado
Energia,kcal,94,16,BRC0054T,Nome não encontrado
Umidade,g,"79,4","14,3",BRC0054T,Nome não encontrado
Carboidrato total,g,"7,72","1,39",BRC0054T,Nome não encontrado
Carboidrato disponível,g,"4,53","0,82",BRC0054T,Nome não encontrado
Proteína,g,"7,89","1,42",BRC0054T,Nome não encontrado
Lipídios,g,"4,19","0,75",BRC0054T,Nome não encontrado
Fibra alimentar,g,"3,19","0,57",BRC0054T,Nome não encontrado
Álcool,g,,,BRC0054T,Nome não encontrado
Cinzas,g,"0,82","0,15",BRC0054T,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0054T,Nome não encontrado
Ácidos graxos saturados,g,"0,61","0,11",BRC0054T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,93","0,17",BRC0054T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,37","0,43",BRC0054T,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0054T,Nome não encontrado
Cálcio,mg,"62,5","11,2",BRC0054T,Nome não encontrado
Ferro,mg,"3,54","0,64",BRC0054T,Nome não encontrado
Sódio,mg,"0,45","0,08",BRC0054T,Nome não encontrado
Magnésio,mg,"63,1","11,4",BRC0054T,Nome não encontrado
Fósforo,mg,158,"28,6",BRC0054T,Nome não encontrado
Potássio,mg,405,"72,9",BRC0054T,Nome não encontrado
Manganês,mg,,,BRC0054T,Nome não encontrado
Zinco,mg,"1,10","0,20",BRC0054T,Nome não encontrado
Cobre,mg,,,BRC0054T,Nome não encontrado
Selênio,mcg,,,BRC0054T,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0054T,Nome não encontrado
Vitamina A (RAE),mcg,"0,21","0,04",BRC0054T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0054T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,18","0,03",BRC0054T,Nome não encontrado
Tiamina,mg,"0,20","0,04",BRC0054T,Nome não encontrado
Riboflavina,mg,"0,20","0,04",BRC0054T,Nome não encontrado
Niacina,mg,"0,37","0,07",BRC0054T,Nome não encontrado
Vitamina B6,mg,"0,00","0,00",BRC0054T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0054T,Nome não encontrado
Vitamina C,mg,"1,35","0,24",BRC0054T,Nome não encontrado
Equivalente de folato,mcg,"84,5","15,2",BRC0054T,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0054T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0054T,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0054T,Nome não encontrado
Proteína vegetal,g,"7,89","1,42",BRC0054T,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0054T,Nome não encontrado
