componente,unidade,Valor por 100g,Colher café cheia (6 g),Colher chá rasa (3 g),Colher servir cheia (50 g),Colher servir rasa (35 g),Colher sobremesa cheia (17 g),Colher sobremesa rasa (12 g),Colher sopa cheia (27 g),Colher sopa rasa (17 g),codigo_alimento,nome_alimento
Energia,kJ,2563,153,76,1281,897,435,307,692,435,BRC0056D,Nome não encontrado
Energia,kcal,623,37,18,311,218,105,74,168,105,BRC0056D,Nome não encontrado
Umidade,g,"28,5","1,71","0,85","14,2","9,97","4,84","3,42","7,69","4,84",BRC0056D,Nome não encontrado
Carboidrato total,g,"1,92","0,12","0,06","0,96","0,67","0,33","0,23","0,52","0,33",BRC0056D,Nome não encontrado
Carboidrato disponível,g,"1,62","0,10","0,05","0,81","0,57","0,28","0,19","0,44","0,28",BRC0056D,Nome não encontrado
Proteína,g,"1,33","0,08","0,04","0,67","0,47","0,23","0,16","0,36","0,23",BRC0056D,Nome não encontrado
Lipídios,g,"67,9","4,07","2,04","33,9","23,7","11,5","8,14","18,3","11,5",BRC0056D,Nome não encontrado
Fibra alimentar,g,"0,30","0,02","0,01","0,15","0,11","0,05","0,04","0,08","0,05",BRC0056D,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0056D,Nome não encontrado
Cinzas,g,"0,41","0,02","0,01","0,21","0,14","0,07","0,05","0,11","0,07",BRC0056D,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0056D,Nome não encontrado
Ácidos graxos saturados,g,"7,51","0,45","0,23","3,75","2,63","1,28","0,90","2,03","1,28",BRC0056D,Nome não encontrado
Ácidos graxos monoinsaturados,g,"18,2","1,09","0,55","9,11","6,38","3,10","2,19","4,92","3,10",BRC0056D,Nome não encontrado
Ácidos graxos poliinsaturados,g,"41,1","2,46","1,23","20,5","14,4","6,98","4,93","11,1","6,98",BRC0056D,Nome não encontrado
Ácidos graxos trans,g,"0,75","0,04","0,02","0,37","0,26","0,13","0,09","0,20","0,13",BRC0056D,Nome não encontrado
Cálcio,mg,"3,75","0,22","0,11","1,87","1,31","0,64","0,45","1,01","0,64",BRC0056D,Nome não encontrado
Ferro,mg,"0,37","0,02","0,01","0,18","0,13","0,06","0,04","0,10","0,06",BRC0056D,Nome não encontrado
Sódio,mg,"99,9","6,00","3,00","50,0","35,0","17,0","12,0","27,0","17,0",BRC0056D,Nome não encontrado
Magnésio,mg,"16,5","0,99","0,49","8,25","5,77","2,80","1,98","4,45","2,80",BRC0056D,Nome não encontrado
Fósforo,mg,"35,1","2,11","1,05","17,6","12,3","5,97","4,21","9,48","5,97",BRC0056D,Nome não encontrado
Potássio,mg,"48,6","2,92","1,46","24,3","17,0","8,27","5,84","13,1","8,27",BRC0056D,Nome não encontrado
Manganês,mg,"0,09","0,01","0,00","0,05","0,03","0,02","0,01","0,03","0,02",BRC0056D,Nome não encontrado
Zinco,mg,"0,32","0,02","0,01","0,16","0,11","0,06","0,04","0,09","0,06",BRC0056D,Nome não encontrado
Cobre,mg,"0,08","0,00","0,00","0,04","0,03","0,01","0,01","0,02","0,01",BRC0056D,Nome não encontrado
Selênio,mcg,"0,02","0,00","0,00","0,01","0,01","0,00","0,00","0,00","0,00",BRC0056D,Nome não encontrado
Vitamina A (RE),mcg,"0,13","0,01","0,00","0,07","0,05","0,02","0,02","0,04","0,02",BRC0056D,Nome não encontrado
Vitamina A (RAE),mcg,"0,07","0,00","0,00","0,03","0,02","0,01","0,01","0,02","0,01",BRC0056D,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0056D,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,01","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0056D,Nome não encontrado
Tiamina,mg,"0,01","0,00","0,00","0,01","0,00","0,00","0,00","0,00","0,00",BRC0056D,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,traços,traços,traços,traços,BRC0056D,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,traços,traços,traços,traços,BRC0056D,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,traços,traços,traços,traços,traços,traços,BRC0056D,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0056D,Nome não encontrado
Vitamina C,mg,"1,43","0,09","0,04","0,72","0,50","0,24","0,17","0,39","0,24",BRC0056D,Nome não encontrado
Equivalente de folato,mcg,"4,56","0,27","0,14","2,28","1,60","0,78","0,55","1,23","0,78",BRC0056D,Nome não encontrado
Sal de adição,g,"0,25","0,02","0,01","0,13","0,09","0,04","0,03","0,07","0,04",BRC0056D,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0056D,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,-,-,-,-,BRC0056D,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,-,-,-,-,BRC0056D,Nome não encontrado
Proteína animal,g,-,-,-,-,-,-,-,-,-,BRC0056D,Nome não encontrado
