componente,unidade,Valor por 100g,Colher sopa cheia (20 g),codigo_alimento,nome_alimento
Energia,kJ,546,109,BRC0056F,Nome não encontrado
Energia,kcal,130,26,BRC0056F,Nome não encontrado
Umidade,g,"74,0","14,8",BRC0056F,Nome não encontrado
Carboidrato total,g,"0,00","0,00",BRC0056F,Nome não encontrado
Carboidrato disponível,g,"0,00","0,00",BRC0056F,Nome não encontrado
Proteína,g,"20,1","4,03",BRC0056F,Nome não encontrado
Lipídios,g,"5,50","1,10",BRC0056F,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0056F,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0056F,Nome não encontrado
Cinzas,g,"0,37","0,07",BRC0056F,Nome não encontrado
Colesterol,mg,144,"29,0",BRC0056F,Nome não encontrado
Ácidos graxos saturados,g,"3,30","0,66",BRC0056F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,40","0,28",BRC0056F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,10","0,02",BRC0056F,Nome não encontrado
Ácidos graxos trans,g,"0,08","0,02",BRC0056F,Nome não encontrado
Cálcio,mg,"9,07","1,81",BRC0056F,Nome não encontrado
Ferro,mg,"0,47","0,09",BRC0056F,Nome não encontrado
Sódio,mg,"45,0","9,00",BRC0056F,Nome não encontrado
Magnésio,mg,"6,40","1,28",BRC0056F,Nome não encontrado
Fósforo,mg,"61,4","12,3",BRC0056F,Nome não encontrado
Potássio,mg,"84,6","16,9",BRC0056F,Nome não encontrado
Manganês,mg,"0,01","0,00",BRC0056F,Nome não encontrado
Zinco,mg,"2,13","0,43",BRC0056F,Nome não encontrado
Cobre,mg,"0,06","0,01",BRC0056F,Nome não encontrado
Selênio,mcg,,,BRC0056F,Nome não encontrado
Vitamina A (RE),mcg,traços,traços,BRC0056F,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,BRC0056F,Nome não encontrado
Vitamina D,mcg,,,BRC0056F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0056F,Nome não encontrado
Tiamina,mg,traços,traços,BRC0056F,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0056F,Nome não encontrado
Niacina,mg,"2,13","0,43",BRC0056F,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0056F,Nome não encontrado
Vitamina B12,mcg,,,BRC0056F,Nome não encontrado
Vitamina C,mg,,,BRC0056F,Nome não encontrado
Equivalente de folato,mcg,,,BRC0056F,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0056F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0056F,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0056F,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0056F,Nome não encontrado
Proteína animal,g,"20,5","4,11",BRC0056F,Nome não encontrado
